Datum,Novi Sad Rumenacka,Novi Sad Liman,Beocin Centar,Sremska Mitrovica,Beograd Stari grad,Beograd Novi Beograd,Beograd Mostar,Beograd Vracar,Beograd Zeleno brdo,Sabac,Kostolac,Smederevo Centar,Obrenovac Centar,Smederevo Carina,Valjevo,Bor Institut RIM,Kragujevac,Kosjeric,Popovac,Zajecar,Cacak,Paracin,Uzice,Kraljevo,Krusevac,Kamenicki Vis EMEP,Nis O.s. Sveti Sava,Nis IZJZ Nis,Novi Pazar,Vranje,Vrsac
2020-01-25,47.72,43.18,28,40.96,77.96,88.94,76.12,75.38,61.25,38.31,30.69,50.67,60.98,4.56,44.26,56.64,33.66,50.23,31.98,54.35,53.99,,52.94,45.91,40.09,17.7,55.5,38.02,,47.45,
2020-01-26,29.81,27.07,25.36,37.46,43.94,56.83,53.46,61.11,50.5,33.9,20.5,43.73,55.29,5.2,23.87,50.33,27.21,41.22,38.97,35.89,49.98,,29.32,37.93,33.41,22.94,38.03,29.15,,39.9,
2020-01-27,19.73,14.39,12.7,14.37,14.29,14.09,19.05,25.5,28.86,10.88,15,19.38,30,1.76,12.98,42.57,20.43,42.32,37.25,26.43,48.77,,12.84,24.27,15.37,35.69,20.85,9.4,,23.12,
2020-01-28,27.54,18.97,15.35,27.69,34.39,27.2,39.48,31.52,31.23,25.63,13.08,26.33,40.99,1.24,32.25,43.28,23.33,47.4,39.78,27.21,50.72,,30.03,23.26,16.39,,34.52,19.86,,34.05,
2020-01-29,34.07,14.92,13.57,29.64,26.89,14.93,34.41,30.8,31.12,19.16,10.51,27.75,37.36,1.46,20.45,30.36,23.89,36.11,39.94,15.39,34.68,,31.83,22.65,12.68,,16.51,18.52,,25.58,
2020-01-30,35.63,17.24,11.54,31.59,31.2,24.97,44.22,34.66,35.1,22.44,17.54,32.49,46.06,1.65,29.05,32.24,23.15,34.81,27.57,25.06,34.44,,32.5,26.66,20.53,10,26.83,18.76,,27.07,
2020-01-31,37.06,15.19,9.16,45.94,43.67,33.85,61.88,41.32,37.73,36.11,27.44,40.71,65.11,2.17,46.62,41.11,22.19,42.9,32.39,26.31,24.92,,30.45,29.55,28.71,13.97,46.64,32.97,,36.81,
2020-02-01,23.29,9.94,14.48,43.5,42.11,33.19,53.53,38.7,37.36,35.59,22.55,31.77,66,2.59,44.54,37.53,21.5,40.21,41.92,27.47,41.37,,35.12,32.5,27.29,12.24,38.32,24.04,,40.58,
2020-02-02,16.87,8.43,14.79,30.91,23.2,12.91,32.43,27.71,27.46,21.07,12.31,26.92,43.23,1.64,37.43,31.88,17.3,41.77,30.35,21.91,52.33,,29.1,32.74,23.26,11.1,34.53,22.31,,32.22,
2020-02-03,35.25,18.55,13.02,36.59,32.6,24.12,43.98,35.33,44.55,35.28,17.68,31.42,53.57,2.14,42.78,25.23,22.3,49.68,33.25,22.19,54.53,,35.33,26.37,18.57,11.23,24.91,19,,21.1,
2020-02-04,26.66,9.35,12.03,18.57,23.25,16.95,32.63,26.75,26.01,18.26,8.34,19.4,33.27,1.06,27.13,34.5,17.76,52.63,34.75,17.55,63.71,,26.19,15.88,12.88,,16.54,15.9,,23.44,
2020-02-05,13.78,8.95,9.65,6.35,5.92,9.12,13.82,16.88,15.56,6.74,5.11,9.6,20.7,0.97,16.14,16.72,12.87,26.07,25.1,9.63,30.62,,14.3,10.02,3.89,11.58,7.17,8.77,,14.53,
