Datum,Novi Sad Rumenačka,Beograd Mostar,Beograd Vračar,Smederevo Centar,Obrenovac Centar,Valjevo,Bor gradski park,Kosjerić,Popovac,Užice,Niš O.Š.Sveti Sava,Niš IZJZ,Novi Pazar
29.11.2020,19.3,31.7,44.7,36.8,11.1,62.7,14.0,104.7,104.7,,75.0,67.0,145.7
30.11.2020,23.0,18.0,25.7,23.3,5.4,47.3,10.2,,,,45.7,39.2,56.2
01.12.2020,36.9,47.1,65.3,74.9,12.2,65.3,14.7,53.0,53.0,,40.4,36.2,47.1
02.12.2020,37.8,37.3,46.3,58.5,10.2,102.3,21.6,68.0,68.0,,50.2,58.5,105.9
03.12.2020,23.6,22.1,30.8,31.1,7.0,117.8,22.4,89.0,89.0,75.8,27.5,27.9,133.4
04.12.2020,17.6,15.6,21.9,19.8,3.3,95.8,18.4,192.3,192.3,,18.0,20.4,114.8
05.12.2020,14.8,11.8,18.8,16.5,2.5,30.7,19.4,144.4,144.4,,16.6,22.5,51.2
06.12.2020,17.3,14.3,19.9,23.5,3.2,78.8,23.1,132.4,132.4,,20.5,34.2,108.6
07.12.2020,10.7,8.8,13.2,10.0,2.3,35.0,10.2,81.7,81.7,,16.1,21.5,60.9
08.12.2020,6.7,5.7,9.0,8.1,1.4,28.7,,27.3,27.3,,12.0,12.6,49.9
09.12.2020,10.4,8.5,12.5,13.8,2.3,67.5,12.9,35.6,35.6,,19.9,23.5,101.5
10.12.2020,6.6,5.8,10.0,10.5,1.7,26.0,13.4,58.6,58.6,,14.5,15.5,62.6
11.12.2020,23.7,21.3,29.6,34.6,9.8,55.0,31.4,80.5,80.5,,34.0,42.6,82.1
12.12.2020,26.1,26.8,39.4,34.8,8.4,42.9,41.0,,,,75.7,78.7,104.2
13.12.2020,25.6,18.2,28.0,27.1,8.2,45.0,19.9,49.7,49.7,,36.9,43.6,99.6
14.12.2020,25.5,18.5,26.4,20.6,5.8,38.4,16.6,25.1,25.1,,34.2,33.8,32.4
15.12.2020,25.2,16.0,24.4,18.5,7.3,42.8,11.6,,,,20.1,23.5,25.8
16.12.2020,28.1,21.9,31.4,38.6,8.4,44.9,16.7,51.4,51.4,,30.8,41.4,78.4
17.12.2020,45.1,36.5,54.9,34.2,17.5,98.0,14.4,51.0,51.0,,69.9,77.0,73.2
18.12.2020,53.4,49.5,79.9,50.7,17.7,100.3,29.9,93.3,93.3,,99.4,117.8,83.3
19.12.2020,28.1,25.0,36.4,35.1,11.2,65.2,37.4,,,,63.5,67.6,99.5
20.12.2020,31.3,31.1,48.1,53.0,8.5,36.7,40.7,,,,42.6,45.7,67.6
21.12.2020,32.0,23.7,35.3,28.5,9.2,46.0,17.0,49.9,49.9,,24.2,29.8,84.3
22.12.2020,26.0,19.4,27.6,27.3,7.8,87.3,33.3,71.3,71.3,,,36.7,99.4
23.12.2020,59.1,36.3,52.0,37.1,13.5,125.1,26.6,91.5,91.5,,,63.2,148.4
24.12.2020,39.0,64.4,73.8,109.2,15.1,89.2,30.4,86.7,86.7,,,146.7,
25.12.2020,16.6,22.4,30.8,67.0,9.4,158.2,20.4,138.8,138.8,,,80.8,185.1
26.12.2020,16.1,12.8,,,4.0,46.5,11.6,60.2,60.2,,,20.6,100.6
27.12.2020,21.3,12.3,,14.5,3.9,48.9,7.8,,,,,18.2,
28.12.2020,9.8,8.5,14.0,12.4,2.8,83.2,9.1,,,,,36.3,
29.12.2020,8.6,6.5,10.1,16.2,2.1,31.9,24.4,56.5,56.5,,,38.3,91.5
30.12.2020,8.7,8.1,12.5,18.0,3.2,38.3,19.4,36.3,36.3,,,73.2,70.9
31.12.2020,17.5,20.7,32.0,35.6,12.1,52.6,22.3,83.1,83.1,,,57.0,75.8
