Datum,Novi Sad Rumenacka,Beocin Centar,Beograd Stari grad,Beograd Novi Beograd,Beograd Mostar,Beograd Vracar,Smederevo Centar,Obrenovac Centar,Popovac,Nis O.s. Sveti Sava,Nis IZJZ Nis,Novi Pazar,Beograd Vracar,Novi Sad Liman,Smederevo Carina,Smederevo Radinac,Kostolac,Kragujevac,Valjevo,Kosjeric,Uzice,Zajecar,Bor,Kamenicki Vis
2020-01-31,37.03,13.26,42.59,38.9,42.39,38.65,82.49,59.32,14.19,149,168.05,,13.4,22.34,62.85,72.71,65.66,44.24,221.44,134.02,69.48,126.55,18.68,9.89
2020-02-01,24.78,11.88,35.15,35.8,38.84,46.1,81.17,45.57,9.05,126.16,123.49,,18.95,15.57,66.89,100.91,69.85,44.39,177.55,104.64,71.47,80.61,12.88,10.26
2020-02-02,18.24,13.98,18.09,17.85,16.38,21.19,41.92,18.13,11.13,113.06,137.05,,184.66,15.38,39.22,50.19,43.53,51.91,104.46,85.98,61.48,107.92,14.69,11.35
2020-02-03,41.85,20,32.17,32.71,35.65,39.71,55.57,29.54,7.27,74.27,87.81,,13.23,24.54,50.02,22.53,39.72,47.76,165.79,107.02,62.76,70.16,15.78,6.64
2020-02-04,21.02,11.61,20.23,20.62,19.31,26.37,31.36,13.62,9.76,,40.03,,11.19,17.21,35,36.44,24.3,49.21,106.48,80.16,52.78,46.34,23.21,
2020-02-05,9.75,10.79,9.03,8.13,5.93,12.07,9.48,5.12,2.37,,15.72,,6.53,17.76,25.65,41.39,42.17,13.57,30.65,16.5,14.51,21.8,9.07,11.33
2020-02-06,39.77,40.67,20.17,19.46,25.08,25.76,16.35,16.27,5.12,,43.01,,11.07,33.14,38.66,91.46,34.28,25.27,99.38,76.18,37.18,36.46,17.23,18.32
2020-02-07,34.77,69.68,29.37,29.28,27.04,35.12,26.16,17.91,9.58,,58.49,,13.56,33.14,50.2,194.87,32.46,32.79,97.93,48.6,55.14,42.68,25.39,19.24
2020-02-08,28.33,46.13,26.47,29.93,35.09,35.73,58.09,21,7.31,,70.27,,16.17,24.36,73.83,148.1,47.15,46.02,91.24,63.67,62.4,97.49,21.04,22.35
2020-02-09,62.05,55.15,82.83,71.76,62.82,74.15,117.74,43.84,12.18,,131.74,129.44,34.15,38.09,103.52,41.95,69.11,69.57,107.2,80.9,97.04,147.08,47.87,16.3
2020-02-10,37.75,15.38,43.88,33,26.19,27.26,56.7,22.36,13.24,,92.15,185.56,10.92,19.78,51.5,57.52,36.65,50.46,146.35,86.51,,73.45,28.11,5.31
2020-02-11,16.2,6.49,13.45,6.44,6.66,13.1,17.95,3.64,4.76,,48.28,72.37,6.68,10.07,29.13,87.36,15.42,30.45,50.42,51.88,43.88,32.43,14.69,3.66
2020-02-12,27.81,13.69,21.83,22.85,27.06,30.67,63.53,18.47,6.41,,73.25,45.82,13.76,15.38,,66.51,56.77,38.38,101.36,52.23,74.9,73.46,14.33,6.78
2020-02-13,29.55,33.17,39.4,30.95,34.38,40.89,66.94,15.98,9.96,,87.6,82.78,18.31,19.78,58.84,89.2,,42.52,136.77,87.23,122.6,140.35,30.47,9.71
2020-02-14,26.84,30.88,33.91,34.87,27.42,39.89,34.48,11.12,8.67,,83.47,121.68,18.87,29.3,56.99,97.24,,46.73,145.06,85.06,83.08,127.9,55.67,14.47
2020-02-15,50.46,42.59,40.36,41.7,41.97,67.62,69.44,29.06,10.25,,49.55,96.46,31.15,28.75,72.91,117.23,,38.28,68.93,42.26,94.87,116.54,25.39,
2020-02-16,65.64,45.49,47.54,48.5,43.89,49.68,84.18,27.03,12.51,,91.62,106.13,23.72,39.74,77.86,99.44,,58.26,108.81,79.09,90.86,125.3,42.98,
