datum,Kikinda_Centar_8h,Novi Sad_Liman_8h,Beograd Stari grad_8h,Beograd_Novi_Beograd_8h,Beograd Vracar_8h,Beograd Zeleno brdo_8h,Kosjeric_8h,Popovac_8h,Kamenicki Vis_8h,Nis O.S. Sveti Sava_8h,Kopaonik_8h,Novi Pazar_8h,Vrsac_8h
2020-09-25,73.68,73.01,42.43,61.26,49.56,87.44,26.05,,101.30,72.15,107.88,69.54,96.40
2020-09-26,68.20,72.50,45.13,50.95,55.61,71.70,76.69,19.51,95.03,77.88,102.45,81.73,80.84
2020-09-27,65.47,63.63,46.97,49.24,56.66,65.36,70.10,29.80,91.84,79.26,99.64,78.94,73.16
2020-09-28,74.98,71.39,56.81,64.51,68.64,66.95,82.30,28.41,,72.96,102.83,72.83,84.68
2020-09-29,55.61,52.73,32.40,29.00,27.74,42.06,42.30,,83.73,55.05,98.34,46.13,49.09
2020-09-30,43.66,46.88,28.25,23.71,27.45,37.38,50.13,7.51,62.89,24.39,85.44,61.88,38.96
2020-10-01,43.93,64.48,26.68,43.20,34.49,52.45,43.13,,68.35,43.70,83.95,25.71,45.50
2020-10-02,90.11,96.36,43.83,,51.64,77.50,50.18,34.05,98.16,69.30,107.50,62.91,84.57
2020-10-03,92.19,85.80,57.03,,72.91,81.76,60.33,40.05,95.93,68.45,104.88,64.56,97.11
2020-10-04,81.96,84.83,60.08,67.81,70.69,76.74,65.25,37.16,86.54,68.98,96.08,19.37,98.15
2020-10-05,61.50,64.86,30.78,34.93,39.14,58.38,25.71,24.34,79.35,32.33,85.53,44.74,73.03
2020-10-06,72.15,77.91,49.23,50.24,52.39,70.88,63.03,20.89,78.80,50.13,92.55,48.38,56.53
2020-10-07,62.60,57.56,31.05,32.50,32.34,52.51,19.45,26.59,79.79,55.08,96.14,25.45,55.04
2020-10-08,47.63,45.69,29.54,23.98,23.98,38.43,57.25,12.66,74.26,41.61,88.75,48.51,44.10
2020-10-09,68.73,63.16,53.78,46.81,51.03,69.26,68.24,30.03,87.71,70.21,87.18,71.23,63.16
2020-10-10,71.25,70.41,46.84,49.00,51.53,74.68,32.73,28.98,90.78,53.90,98.94,45.93,71.80
2020-10-11,69.70,64.26,57.20,59.40,64.58,79.43,39.30,22.05,90.10,45.09,93.69,49.44,72.34
2020-10-12,35.14,55.46,35.34,26.23,38.69,59.14,8.37,25.78,85.68,52.98,101.90,21.03,76.19
2020-10-13,45.61,47.61,22.09,26.13,24.13,38.35,46.96,19.93,53.41,28.81,91.41,46.30,45.39
2020-10-14,62.18,72.49,41.85,62.16,47.99,59.64,39.79,28.51,78.38,53.66,91.93,50.91,65.48
2020-10-15,53.58,58.46,35.44,43.96,52.43,36.21,17.89,28.24,79.20,55.62,99.25,67.99,61.41
2020-10-16,47.41,58.93,30.04,63.39,56.49,41.41,45.14,24.19,75.39,38.49,102.89,61.81,63.96
2020-10-17,38.74,40.61,27.74,27.53,30.06,21.23,27.76,20.16,68.36,54.09,89.11,68.20,37.25
2020-10-18,58.35,58.10,49.43,40.20,48.01,35.95,18.96,19.26,66.06,53.59,79.96,58.19,58.66
2020-10-19,60.38,68.81,40.48,53.05,42.80,41.43,28.75,26.05,80.53,44.60,80.13,55.94,61.89
2020-10-20,62.44,73.00,45.94,58.46,53.19,55.74,27.38,36.13,78.09,48.49,96.49,56.04,67.99
2020-10-21,68.19,53.01,51.44,65.68,59.31,44.88,33.86,33.38,87.50,41.49,110.25,58.00,76.65
2020-10-22,70.14,53.83,35.99,61.39,47.10,38.13,30.21,,94.56,40.48,90.45,53.15,77.55
2020-10-23,87.36,66.38,25.25,43.76,30.94,57.85,22.14,26.58,94.88,37.26,100.78,43.60,68.55
2020-10-24,54.45,48.66,15.19,29.16,13.84,54.11,31.85,17.41,92.64,30.82,85.65,40.33,58.76
2020-10-25,30.41,26.79,34.45,42.53,37.41,28.91,25.22,8.08,84.06,18.84,91.49,34.99,50.71
2020-10-26,54.40,62.16,38.16,54.73,48.50,39.41,19.76,21.11,76.86,35.06,88.18,38.29,57.45
2020-10-27,58.75,49.88,41.76,55.00,52.69,61.60,25.51,18.27,75.83,44.10,80.69,51.91,68.30
2020-10-28,56.56,31.59,41.83,36.15,44.10,35.66,28.98,22.85,58.25,38.34,72.51,40.86,66.23
2020-10-29,34.98,30.48,43.85,42.88,29.64,23.39,38.88,17.61,74.54,42.14,74.51,43.23,30.29
2020-10-30,53.00,50.29,48.91,39.76,43.35,33.10,37.13,22.85,61.96,35.75,66.30,50.09,48.56
2020-10-31,38.64,35.46,31.65,21.34,23.41,21.21,48.23,11.26,60.36,27.73,63.94,28.51,39.61
2020-11-01,47.83,56.31,25.80,29.77,29.68,29.84,25.88,21.96,72.29,49.55,64.65,52.83,34.53
2020-11-02,41.23,33.54,8.78,11.34,14.14,33.18,12.46,16.77,73.44,24.54,78.26,32.79,43.59
2020-11-03,36.04,39.43,25.00,34.00,22.30,30.54,22.10,17.75,75.40,31.01,63.81,38.44,48.09
2020-11-04,19.63,14.98,11.92,10.01,16.57,19.73,32.63,12.01,67.66,27.59,55.06,47.25,36.75
2020-11-05,34.80,19.53,21.36,16.15,25.81,21.79,5.65,14.41,46.51,29.85,40.35,27.81,
2020-11-06,53.96,46.79,48.68,36.03,39.95,37.66,34.63,12.26,47.17,22.49,40.66,26.58,26.31
2020-11-07,49.58,43.10,27.99,,24.63,24.39,11.09,21.41,69.16,46.21,71.21,55.23,42.20
2020-11-08,45.58,18.40,28.06,,35.39,36.65,18.42,14.59,66.73,34.08,80.04,44.94,43.56
2020-11-09,16.84,32.21,19.79,,18.66,11.92,15.76,7.05,67.21,15.18,81.15,39.36,21.74
2020-11-10,25.85,35.49,18.51,17.48,18.84,23.13,5.17,16.14,39.69,26.45,72.50,22.38,29.06
2020-11-11,21.61,25.96,26.28,28.21,30.06,25.25,14.35,13.62,39.01,30.83,63.25,41.20,39.54
2020-11-12,24.57,19.01,25.48,24.95,23.78,23.33,32.57,15.57,55.46,19.00,79.69,33.04,37.43
2020-11-13,24.33,20.26,6.18,16.39,5.39,9.04,13.07,8.42,60.70,20.36,69.94,34.49,33.05
2020-11-14,44.95,34.54,23.20,22.33,19.95,25.88,11.75,12.76,68.58,34.55,73.95,32.79,45.30
2020-11-15,51.10,53.96,35.83,34.69,36.13,31.20,6.95,13.96,82.13,28.60,82.73,33.03,51.99
2020-11-16,28.94,41.58,24.19,14.51,25.58,25.90,5.69,16.50,81.55,11.56,78.45,25.98,50.49
2020-11-17,19.23,13.71,12.11,10.00,9.75,15.60,6.21,6.39,76.73,19.28,68.84,25.58,41.71
2020-11-18,30.30,34.39,23.81,17.05,14.86,12.23,18.63,5.71,35.59,25.69,69.01,43.79,29.88
2020-11-19,41.41,40.85,31.28,33.81,31.39,24.71,27.49,17.83,45.19,25.06,74.59,41.45,52.46
2020-11-20,43.78,28.40,34.41,29.36,30.21,24.55,5.93,10.89,42.71,27.64,81.06,21.58,56.03
2020-11-21,50.38,48.69,48.99,47.34,45.51,28.56,51.04,14.20,45.33,32.36,64.63,48.84,42.63
2020-11-22,35.21,34.86,29.00,34.36,27.08,16.73,31.56,20.01,38.89,28.46,64.40,41.43,45.91
2020-11-23,34.46,32.41,29.09,24.86,18.94,16.04,15.15,13.10,65.96,17.54,74.19,28.95,35.71
2020-11-24,30.83,30.66,25.60,16.03,16.40,12.04,23.59,18.03,54.48,27.76,78.60,39.01,40.28
2020-11-25,,38.33,33.10,31.61,31.59,20.11,45.21,14.11,69.41,29.89,89.21,52.19,41.24
2020-11-26,,35.84,12.49,12.72,5.86,5.98,11.39,13.69,70.46,20.40,84.54,43.59,16.83
2020-11-27,,36.90,11.78,7.01,2.46,4.24,13.03,5.65,90.10,10.34,81.25,,22.26
2020-11-28,,21.80,5.19,5.11,2.28,5.08,22.02,4.20,92.03,15.30,84.29,36.20,30.84
2020-11-29,,25.53,25.23,16.63,17.36,10.74,8.46,11.17,89.59,12.29,83.36,29.68,29.10
2020-11-30,,34.44,25.71,24.18,17.79,12.44,36.41,21.66,46.49,35.39,71.40,36.64,26.21
2020-12-01,,40.23,28.60,31.24,28.86,25.26,25.98,24.35,58.58,36.79,88.56,44.11,39.99
2020-12-02,,44.10,40.01,36.65,35.81,28.29,17.63,25.94,52.78,45.53,85.10,34.08,55.10
2020-12-03,42.00,46.20,46.93,44.99,45.54,32.64,11.80,23.80,52.31,47.01,79.05,25.74,51.63
2020-12-04,47.68,42.26,41.16,44.93,38.54,33.96,12.20,20.68,55.98,50.66,68.81,41.98,58.53
2020-12-05,54.66,52.26,50.68,51.05,48.46,36.60,8.30,24.69,65.89,50.54,77.96,54.31,57.96
2020-12-06,55.09,54.75,52.01,51.64,,35.29,31.91,28.99,67.28,56.01,84.31,49.45,57.11
2020-12-07,51.98,38.01,36.45,35.99,,25.88,23.01,31.03,64.49,58.04,80.78,60.43,58.15
2020-12-08,44.09,39.84,38.80,39.48,36.28,28.49,9.75,19.41,39.20,27.98,74.85,43.21,53.44
2020-12-09,34.43,45.38,46.38,46.68,44.86,33.29,21.67,20.88,40.91,34.44,81.56,34.94,52.19
2020-12-10,21.99,33.01,30.74,29.94,29.01,20.94,6.22,17.98,65.65,27.96,82.34,40.89,41.24
2020-12-11,27.39,16.01,12.25,11.06,8.64,6.71,5.13,8.68,62.33,13.11,79.69,26.06,11.78
2020-12-12,31.31,24.01,23.79,27.21,22.81,18.45,9.08,13.13,57.19,20.13,76.11,23.34,21.64
2020-12-13,33.30,29.47,32.04,25.37,26.46,16.48,3.61,5.66,34.44,17.96,72.24,20.60,20.49
2020-12-14,38.08,34.81,37.11,22.88,27.98,16.86,19.61,8.54,,27.28,66.60,30.48,24.19
2020-12-15,37.34,34.36,,28.31,24.85,15.48,17.57,11.99,46.56,30.30,76.14,37.29,24.61
2020-12-16,32.96,22.86,,29.29,25.23,14.09,8.02,15.54,38.74,23.70,71.93,20.99,34.73
2020-12-17,18.35,4.23,5.57,3.59,2.40,,7.35,5.50,56.41,10.89,68.98,19.76,29.70
2020-12-18,16.74,14.05,9.19,5.80,3.81,,7.30,1.92,64.20,5.66,69.60,28.66,11.42
2020-12-19,23.83,27.50,14.45,12.58,11.56,6.24,4.25,6.15,46.46,11.07,77.04,17.17,14.13
2020-12-20,27.84,27.16,20.56,23.43,18.71,11.25,3.30,13.13,41.30,23.05,75.11,16.09,36.77
2020-12-21,34.91,27.30,32.23,31.26,30.91,18.04,3.63,16.11,35.59,25.23,71.90,13.95,46.93
2020-12-22,36.76,16.17,25.76,18.70,23.43,14.80,6.27,21.26,49.98,19.30,71.64,21.08,46.73
2020-12-23,39.78,49.18,18.91,24.89,17.80,20.19,9.05,14.14,68.83,26.65,69.70,30.11,46.87
2020-12-24,24.14,57.71,10.44,30.08,15.42,21.03,13.17,5.24,65.29,12.61,70.36,35.21,48.07
2020-12-25,38.27,44.90,29.91,22.18,19.27,17.69,12.86,8.73,64.59,43.93,68.18,33.89,41.43
2020-12-26,41.60,28.64,36.73,24.05,,17.54,7.10,8.96,54.90,33.45,73.31,,29.39
2020-12-27,38.00,35.29,39.41,34.56,33.44,19.89,6.29,14.48,37.83,26.34,73.64,,37.78
2020-12-28,54.65,63.98,49.41,60.24,51.28,33.63,16.23,35.44,70.41,55.76,79.25,23.97,54.33
2020-12-29,60.54,76.11,66.31,71.45,67.73,39.38,50.70,40.60,75.86,66.81,85.48,64.35,62.75
2020-12-30,59.08,62.35,52.85,60.60,51.05,31.75,15.40,36.98,81.26,59.61,83.64,46.43,64.31
2020-12-31,41.96,31.13,33.69,32.86,25.56,17.63,18.55,34.53,73.65,55.75,82.38,40.54,44.54
,,,,,,,,,,,,,
