Datum,Beograd Novi Beograd  SO2 ?g.m-3,Beograd Mostar  SO2 ?g.m-3,Beograd Zeleno brdo  SO2 ?g.m-3,Kostolac  SO2 ?g.m-3,Bor Brezonik  SO2 ?g.m-3,Bor Gradski park  SO2 ?g.m-3,Bor Institut RIM  SO2 ?g.m-3,Bor Slatina  SO2 ?g.m-3,Zajeèar  SO2 ?g.m-3,Kamenièki Vis EMEP  SO2 ?g.m-3,Niš O.š. Sveti Sava  SO2 ?g.m-3
04.12.2017,8.50,8.47,26.70,12.28,10.23,11.45,11.23,30.68,,9.45,8.15
05.12.2017,9.30,6.61,19.38,10.33,11.00,14.61,13.58,23.65,,7.13,7.53
06.12.2017,6.63,13.13,19.70,9.22,10.16,14.79,14.32,16.96,,5.16,8.02
07.12.2017,17.10,24.03,33.14,19.02,13.58,21.38,30.49,20.85,,5.62,9.25
08.12.2017,16.63,28.40,31.08,20.13,16.49,16.17,14.45,12.40,,7.23,13.06
09.12.2017,10.49,8.34,18.91,15.74,19.97,34.53,50.59,12.46,,10.18,8.40
10.12.2017,12.60,9.87,25.04,18.55,11.69,10.12,7.98,11.05,,11.08,8.24
11.12.2017,12.54,10.45,23.14,16.64,14.39,62.49,35.65,11.57,,9.45,9.07
12.12.2017,11.89,17.75,19.60,14.99,39.87,80.17,89.16,13.00,,7.73,7.30
13.12.2017,7.62,6.23,16.68,12.59,12.83,9.35,15.95,,55.65,8.06,11.39
14.12.2017,13.09,16.64,23.63,10.85,14.14,37.42,34.43,,30.83,9.22,8.90
15.12.2017,12.41,27.51,20.31,12.88,13.82,17.99,16.95,,31.94,10.71,10.85
16.12.2017,9.63,6.91,20.93,11.86,14.31,18.09,22.15,,21.00,12.66,8.92
17.12.2017,8.34,5.94,22.46,7.43,13.66,15.34,12.47,,23.27,12.48,8.85
18.12.2017,5.59,5.30,23.94,6.63,13.99,15.02,12.39,,24.25,11.66,8.24
19.12.2017,5.13,4.67,22.52,7.44,15.73,18.85,,,27.98,10.35,7.98
20.12.2017,6.15,7.26,24.08,5.43,10.09,9.03,,,30.25,10.90,8.94
21.12.2017,6.64,7.84,29.81,5.72,11.41,11.13,9.70,,32.48,11.53,8.31
22.12.2017,7.71,7.59,34.30,8.54,26.08,35.39,25.89,,,13.82,15.09
23.12.2017,8.81,8.64,24.80,6.96,13.36,15.38,11.26,,,12.20,9.61
24.12.2017,9.96,17.03,26.23,10.19,14.30,19.37,12.71,,,10.79,12.32
25.12.2017,13.54,25.58,41.29,13.77,15.68,150.37,29.76,,,9.57,11.59
26.12.2017,20.26,26.18,,13.00,45.15,63.14,62.52,,49.86,11.56,16.89
27.12.2017,17.33,25.86,,15.58,31.36,45.21,25.40,,29.46,12.25,12.54
28.12.2017,15.36,15.64,,16.97,32.86,39.88,9.87,,16.85,9.06,8.56
29.12.2017,13.36,9.37,,13.21,18.13,18.04,42.99,,28.28,,7.91
30.12.2017,36.13,25.12,,10.73,14.91,12.12,9.20,,28.14,,8.04
31.12.2017,20.86,20.99,,15.77,32.39,52.86,22.12,,,,11.27
,,,,,,,,,,,
,,,,,,,,,,,
