Datum,Kikinda Centar,Novi Sad Liman,Sremska Mitrovica,Beograd Stari grad,Beograd Novi Beograd,Sabac,Kostolac,Smederevo Carina,Bor Institut RIM,Kragujevac,Cacak,Uzice,Krusevac,Kamenicki Vis EMEP,Nis O.s. Sveti Sava,Vranje
2017-10-4,0.47,0.40,0.81,0.69,0.63,1.10,0.64,0.58,,1.04,0.69,1.34,0.89,0.26,0.49,1.95
2017-10-5,0.51,0.44,1.17,0.84,0.52,1.38,0.70,0.58,,1.03,1.03,1.28,0.92,0.24,0.69,1.64
2017-10-6,0.46,0.41,1.34,0.51,0.52,1.49,0.72,0.39,,1.02,1.12,1.34,1.18,0.24,0.79,1.81
2017-10-7,0.54,0.40,0.41,0.37,0.41,0.77,0.39,0.54,,0.97,0.77,0.61,1.06,0.23,0.56,0.52
2017-10-8,1.77,0.43,0.59,0.44,0.43,0.84,0.44,0.53,,0.94,0.84,0.74,1.77,0.31,0.96,0.85
2017-10-9,1.77,0.44,0.64,0.36,0.56,1.16,0.59,0.77,,0.95,0.74,1.19,1.98,0.28,1.02,1.23
2017-10-10,2.54,0.45,0.68,0.43,0.67,1.26,0.63,1.08,,1.06,0.83,1.18,2.28,0.24,0.94,2.32
2017-10-11,2.54,0.44,1.29,0.85,0.56,1.99,0.73,0.86,,1.09,0.90,1.29,1.65,0.24,0.94,2.49
2017-10-12,1.93,0.43,1.50,0.81,0.63,2.00,0.76,0.80,,1.05,0.76,1.24,1.63,0.23,0.93,1.28
2017-10-13,0.14,0.48,1.74,0.66,0.64,1.93,0.78,0.49,,0.96,0.67,1.28,1.91,0.28,0.99,1.22
2017-10-14,0.56,0.48,1.79,0.70,0.75,2.02,0.63,0.57,,1.04,0.64,1.14,1.96,0.29,1.01,0.86
2017-10-15,0.56,0.45,1.24,1.15,0.87,1.92,0.80,0.72,,1.07,0.74,1.45,1.76,0.28,0.90,1.21
2017-10-16,0.58,0.48,1.36,1.46,0.88,2.06,0.96,1.00,,,0.77,1.86,1.76,0.32,0.90,0.69
2017-10-17,0.80,0.86,1.59,1.93,1.15,2.54,0.99,1.02,,,0.78,1.89,1.72,0.28,1.16,1.85
2017-10-18,0.85,0.70,1.70,2.08,1.23,2.58,0.66,0.62,,,0.81,1.85,1.85,0.28,1.15,1.95
2017-10-19,0.72,0.61,1.68,1.86,1.04,2.67,0.95,0.58,,,0.81,1.80,1.66,0.24,1.06,2.08
2017-10-20,0.77,0.58,1.80,1.97,1.10,2.31,0.99,1.07,,,0.70,1.47,1.50,0.23,0.89,1.84
2017-10-21,0.93,,1.00,1.96,1.19,0.99,0.90,0.68,,,0.69,1.52,1.74,0.32,0.94,1.85
2017-10-22,0.97,,1.06,0.61,0.87,1.10,0.96,0.98,,1.18,1.11,1.62,1.94,0.33,0.99,2.16
2017-10-23,0.48,0.37,0.60,0.60,0.43,0.73,0.44,0.96,,1.18,1.14,1.67,2.21,0.27,0.97,2.47
2017-10-24,0.38,0.40,0.25,0.37,0.33,0.53,0.40,0.47,,1.24,0.59,0.88,0.64,0.37,0.49,0.48
2017-10-25,0.83,0.38,1.07,0.70,0.57,2.70,0.51,0.67,,1.56,1.28,1.35,0.76,0.36,0.52,0.36
2017-10-26,0.87,0.62,1.84,1.14,0.91,3.10,0.94,0.98,,1.78,1.78,1.74,2.57,0.32,1.03,1.98
2017-10-27,0.55,0.94,1.83,1.33,0.99,2.87,0.96,0.85,,1.80,2.30,1.92,2.92,0.29,2.26,2.63
2017-10-28,0.31,0.49,0.63,0.39,0.36,1.34,0.32,0.40,,0.92,0.68,0.98,0.84,0.29,1.71,2.25
2017-10-29,0.28,0.48,0.89,0.46,0.33,1.47,0.46,0.45,,0.82,0.75,0.75,0.78,0.33,0.82,0.95
2017-10-30,0.40,0.38,0.28,0.36,0.28,0.50,0.28,0.32,,0.80,0.69,1.29,0.66,0.34,1.83,1.99
2017-10-31,0.48,0.73,1.07,0.58,0.53,1.35,0.39,1.00,,1.54,0.88,1.56,1.20,0.35,2.01,2.42
2017-11-1,0.48,0.72,1.91,0.77,0.79,3.88,,1.21,,1.63,1.29,1.78,3.59,0.36,1.47,1.88
2017-11-2,0.70,0.57,3.13,2.19,1.24,4.65,,1.03,,1.54,1.81,3.43,5.13,0.28,3.60,6.96
2017-11-3,0.98,0.69,2.84,2.15,1.28,4.15,,1.59,,1.75,2.13,3.48,5.26,0.36,3.78,7.59
2017-11-4,0.97,0.69,0.73,0.72,0.66,1.36,,,,1.60,1.78,2.08,4.43,0.47,1.68,0.97
2017-11-5,0.62,0.54,0.74,0.69,0.56,1.41,,,,1.62,1.62,2.46,4.64,0.39,1.72,6.95
2017-11-6,0.82,0.39,0.41,0.48,0.35,0.81,,,,0.52,1.43,2.90,0.61,0.38,0.66,9.16
2017-11-7,0.83,0.36,0.36,0.57,0.34,0.56,,,,0.29,1.08,3.29,0.49,0.34,0.44,2.26
2017-11-8,0.73,0.69,0.84,0.54,0.44,1.41,,,,0.94,0.75,3.19,0.72,0.38,0.54,2.26
2017-11-9,1.50,0.84,2.73,0.88,0.86,1.84,,,,1.76,1.86,1.84,2.05,0.42,1.51,2.13
2017-11-10,1.50,0.99,2.80,0.94,0.91,2.22,,,,1.81,1.84,2.00,2.73,0.42,1.57,2.90
2017-11-11,1.13,0.65,1.56,1.08,0.96,2.54,,,,1.53,1.77,1.98,4.56,0.40,1.63,2.96
2017-11-12,1.10,0.62,1.57,1.06,0.93,2.59,,,,2.09,2.82,2.94,4.85,0.36,1.37,0.92
2017-11-13,0.60,0.31,1.14,0.69,0.72,2.20,0.38,0.87,,1.86,2.77,3.08,1.90,0.36,1.46,0.92
2017-11-14,0.35,0.31,0.73,0.50,0.72,,0.39,0.63,,0.71,0.75,0.71,0.53,0.43,0.94,0.84
2017-11-15,0.48,0.39,0.79,0.62,0.52,,0.41,1.06,,0.91,0.80,1.24,1.06,0.44,1.21,0.59
2017-11-16,0.96,0.40,0.96,0.62,0.50,,0.44,0.91,,1.23,1.18,1.15,0.98,0.41,0.84,0.89
2017-11-17,0.94,0.38,1.01,0.65,0.50,,0.53,1.21,,0.97,1.32,1.27,0.91,0.17,0.62,0.68
2017-11-18,0.69,0.46,0.99,0.72,0.61,,0.54,1.18,,1.06,1.22,1.37,1.00,0.39,0.66,0.58
2017-11-19,1.09,0.56,0.89,0.88,0.76,,0.53,1.16,,2.18,1.09,1.08,1.50,0.38,0.93,0.54
2017-11-20,1.06,0.55,1.96,0.85,0.75,,0.56,1.11,,1.98,1.09,1.55,1.44,0.22,0.92,2.29
2017-11-21,0.55,1.15,2.77,1.32,1.37,,0.97,1.16,,3.05,3.18,1.95,4.40,0.18,3.60,3.92
2017-11-22,0.56,1.07,3.69,1.33,1.49,,1.28,1.47,,2.84,3.24,1.75,5.32,0.17,3.97,7.43
2017-11-23,0.55,0.38,3.73,1.85,1.38,,1.25,2.09,,1.38,2.07,2.56,5.86,0.15,3.85,8.07
2017-11-24,0.80,0.58,3.40,2.69,1.64,,1.19,1.84,,2.32,2.12,2.30,6.37,0.20,3.07,8.47
2017-11-25,0.77,0.83,3.09,3.09,1.78,,0.96,2.11,,2.16,2.18,2.88,6.56,0.19,2.22,
2017-11-26,0.47,0.62,1.28,0.86,0.72,,0.46,0.90,,2.21,2.05,3.40,2.83,0.22,1.70,
2017-11-27,0.73,0.43,0.65,0.54,0.55,,0.42,0.62,,0.81,0.41,0.72,0.87,0.23,0.53,
2017-11-28,1.11,0.42,1.44,,1.16,,0.92,2.47,,1.72,1.26,1.61,,0.19,1.81,
2017-11-29,1.13,0.46,1.40,,1.17,,0.95,2.26,,1.72,1.93,3.93,,0.15,2.47,
2017-11-30,,0.59,1.61,,1.05,,0.35,2.35,,0.98,1.78,4.62,,0.22,2.29,
2017-12-1,,0.75,1.37,,1.01,1.01,0.48,2.02,,0.79,0.84,2.45,,0.46,1.05,
2017-12-2,,0.74,1.35,,0.68,0.91,0.46,0.96,,0.94,0.97,1.25,,0.45,0.84,
2017-12-3,,0.57,0.73,,0.69,0.97,0.69,1.22,,1.10,1.01,0.88,,0.47,0.88,
2017-12-4,,0.51,1.74,,0.72,1.64,0.73,1.57,,1.18,1.29,1.46,,0.43,1.53,
2017-12-5,,0.44,1.52,0.55,0.73,1.60,0.76,1.49,,1.50,1.12,1.75,,0.31,1.59,
2017-12-6,,0.40,4.45,1.42,1.76,4.79,1.00,3.18,,1.89,1.05,1.93,,0.29,3.52,
2017-12-7,,0.69,4.38,3.20,2.11,6.82,1.47,3.37,,2.76,1.68,3.62,,0.26,3.85,
2017-12-8,,0.59,3.25,3.57,2.15,6.86,1.10,1.99,,2.65,3.71,3.94,,0.35,3.88,
2017-12-9,,0.43,1.30,0.40,0.53,2.76,0.94,0.72,,1.72,3.47,3.61,,0.28,2.33,
2017-12-10,,0.32,0.51,0.34,0.42,1.26,0.41,0.64,,0.82,1.52,2.33,,0.25,1.68,
2017-12-11,,0.32,1.42,0.30,0.39,1.92,0.34,0.58,,0.76,1.59,1.97,,0.21,1.99,
2017-12-12,,0.50,1.25,0.55,0.45,2.38,0.37,1.10,,1.84,1.91,1.47,,0.21,1.92,
2017-12-13,,0.52,1.18,0.36,0.52,2.40,0.39,1.13,,1.76,1.95,1.81,2.41,0.31,1.84,
2017-12-14,5.44,0.58,2.53,0.91,0.82,4.47,0.62,1.09,0.87,2.74,3.28,1.56,3.16,0.30,1.33,
2017-12-15,0.74,0.23,2.12,0.41,0.50,4.23,0.53,0.59,1.49,2.43,3.60,2.77,3.33,0.24,2.10,3.74
2017-12-16,0.66,0.66,2.45,0.48,0.64,1.62,0.63,1.55,1.09,1.05,0.81,2.45,0.78,0.33,1.20,1.09
2017-12-17,0.72,0.65,2.42,0.51,0.80,1.71,0.72,1.51,0.30,1.13,,,0.95,0.40,0.87,0.61
2017-12-18,0.77,0.59,0.75,0.43,0.76,0.90,0.49,0.76,0.28,1.07,0.79,,0.98,0.39,0.71,0.53
2017-12-19,0.90,0.63,0.82,0.33,0.72,0.92,0.56,0.92,0.23,1.06,0.69,0.86,1.63,0.50,1.63,0.72
2017-12-20,1.81,0.79,1.42,0.50,0.88,1.33,0.60,0.88,0.27,1.34,0.83,0.95,1.67,,1.62,0.74
2017-12-21,1.95,0.81,3.03,0.55,0.93,1.94,1.12,,1.13,1.65,1.84,1.21,1.84,,1.43,0.60
2017-12-22,1.28,0.78,3.05,0.66,1.02,2.00,1.09,,1.18,1.66,1.90,1.18,2.45,,1.78,0.56
2017-12-23,0.95,0.78,1.52,0.68,1.01,1.27,0.76,,0.34,1.64,1.21,1.34,3.80,,1.12,0.80
2017-12-24,0.90,0.73,4.23,1.36,1.94,4.83,1.23,,0.52,2.66,1.37,1.56,6.71,,5.18,6.30
2017-12-25,1.30,1.28,4.24,3.46,2.63,5.31,1.74,,1.70,3.31,2.47,4.23,7.02,,5.47,11.74
2017-12-26,1.05,1.39,2.80,3.44,2.58,5.83,1.51,,2.14,3.29,3.01,4.32,6.56,,5.09,13.75
2017-12-27,0.65,0.32,1.82,1.27,1.92,3.71,1.17,,1.62,3.38,2.89,4.31,5.82,,2.38,10.39
2017-12-28,0.49,0.30,0.72,0.31,0.44,1.62,0.48,,1.39,1.64,0.77,1.22,0.81,,1.95,1.22
2017-12-29,0.51,0.54,1.33,0.35,0.58,1.77,0.49,0.94,1.28,1.71,1.00,1.14,1.35,,1.03,1.09
2017-12-30,0.72,0.54,2.14,0.71,1.06,2.84,1.11,1.95,1.30,2.50,1.76,1.85,4.14,,1.64,1.38
2017-12-31,0.88,0.70,3.57,1.33,1.59,4.37,1.12,1.71,1.51,3.00,3.19,2.10,6.18,,4.95,9.13
