Datum,Beograd Novi Beograd,Beograd Stari grad,Beograd Mostar,Beograd Vracar,Beograd Panc.most,Beograd Zeleno brdo,Bor Brezonik,Bor Institut RIM,Bor Gradski park,Cacak,Kamenicki Vis EMEP,Kikinda,Kopaonik,Kosjeric,Kostolac,Kragujevac,Kraljevo,Krusevac,Loznica,Novi Sad SPENS,Novi Sad Liman,Nis IZJZ Nis,Obrenovac Centar,Pancevo Sodara,Paracin,Sabac,Smederevo Carina,Uzice,Valjevo,Vranje,Zajecar,Smederevo Radinac
2011-01-22,10.98,6.12,6.12,6.84,56.26,30.35,10.47,18.5,210.25,6.12,10.3,6.12,25.21,6.12,3.19,6.12,8.14,42.25,6.74,6.12,12.64,15.49,6.12,7.24,9.01,6.37,25.24,16.49,14.29,21.38,62.53,27.81
2011-01-23,15.8,7.24,11.42,20.53,53.91,65.49,21.19,66.54,332.55,6.54,15.57,6.12,12.21,10.31,4.52,7.02,8.97,44.16,35.93,10.99,18.31,15.45,9.12,9.1,10.65,9.94,29.21,27.13,29.93,21.64,54.58,24.46
2011-01-24,14.25,10.55,29.79,27.8,57.66,92.19,24.96,20.27,40.43,16.21,21.88,6.12,14.35,16.97,14.9,19.11,23.34,69.87,31.53,9.07,18.82,36.61,17.43,13.51,15.86,11.94,41.4,39.9,57.78,17.93,77.39,33.25
2011-01-25,32.43,39.55,47.9,51.91,53.86,113.2,18.27,37.57,38.37,21.07,20.79,15.07,14.85,15.69,25.0,12.96,16.33,89.08,50.02,11.02,21.22,26.36,22.95,39.68,23.52,34.66,57.39,35.38,47.56,17.7,80.6,38.95
2011-01-26,59.09,68.05,80.62,68.53,60.26,147.4,523.76,118.52,189.31,23.34,12.05,31.26,6.49,25.84,25.54,16.75,18.46,101.39,60.04,14.72,37.84,42.37,36.92,41.61,14.2,31.5,42.44,110.12,74.88,32.22,136.57,49.56
2011-01-27,42.91,34.69,44.66,57.58,61.5,108.49,441.64,197.09,212.19,25.5,12.09,22.89,6.12,33.01,21.81,18.93,18.31,123.29,42.45,16.5,30.82,50.97,34.82,36.4,18.53,35.97,68.36,119.43,78.3,35.37,125.37,57.75
2011-01-28,42.49,28.11,49.11,40.79,54.53,91.54,244.67,18.49,882.39,35.59,14.8,6.12,16.46,33.96,19.68,23.83,16.68,77.77,30.01,19.23,40.27,38.94,39.53,42.69,25.66,32.76,58.26,56.66,26.29,,52.1,47.38
2011-01-29,40.91,30.82,43.08,37.14,47.21,74.29,12.58,7.78,583.08,11.57,6.12,9.08,9.31,18.45,7.45,8.73,6.12,61.86,47.77,18.97,40.6,21.7,25.47,26.49,7.78,39.09,44.15,32.19,41.02,,36.48,31.75
2011-01-30,48.01,28.05,31.26,38.53,50.6,122.18,188.22,9.66,42.71,14.39,13.37,6.42,10.43,11.75,16.23,11.05,11.02,91.68,43.13,12.93,23.51,30.76,23.25,19.73,12.3,33.82,82.61,43.36,47.95,,145.57,50.36
2011-01-31,37.03,23.33,49.18,49.45,56.53,130.08,261.9,58.48,86.09,50.95,61.46,6.12,10.13,15.05,27.13,17.74,14.19,102.24,46.9,11.07,26.7,45.99,168.46,16.96,34.17,27.61,56.85,55.86,48.58,,120.86,36.63
2011-02-01,61.48,47.6,59.6,68.06,58.13,118.74,296.56,91.7,161.92,26.6,22.41,7.45,6.44,12.71,190.72,45.36,19.07,125.47,53.88,8.15,15.2,44.3,316.89,21.98,43.82,117.16,49.07,59.05,48.51,,150.54,54.76
