Datum,Beograd Stari grad,Beograd Mostar,Smederevo Centar,Beograd Vracar,Novi Sad Liman,Valjevo,Kosjeric,Kamenicki Vis,Uzice,Kragujevac
2018-12-11,25.60,19.92,36.21,16.5,23.4,102.7,66.7,12.5,78.9,45.3
2018-12-12,28.53,20.38,66.04,17.6,21.4,134.6,71.1,17.2,74.6,62.3
2018-12-13,49.13,35.37,99.37,26.6,32.2,97.1,107.5,15.4,78.5,80.0
2018-12-14,31.76,25.38,37.71,21.5,31.9,90.3,77.6,11.5,61.3,79.7
2018-12-15,36.80,31.25,51.88,22.4,27.8,75.5,48.6,4.8,32.3,43.8
2018-12-16,68.43,54.98,89.18,42.8,42.0,68.7,44.6,10.3,46.1,61.0
2018-12-17,122.52,91.85,100.13,69.9,96.9,133.3,82.0,19.4,116.1,83.0
2018-12-18,73.24,54.71,85.93,57.1,79.9,118.1,62.6,16.1,58.8,97.1
2018-12-19,107.59,78.93,159.92,78.3,69.8,160.3,65.8,15.9,70.9,111.9
2018-12-20,117.52,80.20,79.73,65.8,107.8,276.3,98.8,12.3,157.4,99.6
2018-12-21,175.65,133.95,121.59,97.2,161.9,552.4,133.3,14.3,358.7,111.3
2018-12-22,77.39,51.69,140.13,38.7,22.0,424.2,131.1,12.6,185.6,92.3
2018-12-23,50.20,58.36,104.48,41.2,19.2,226.9,156.5,8.6,99.6,87.9
2018-12-24,15.00,11.62,29.35,13.9,11.5,67.5,26.8,9.2,52.8,38.5
2018-12-25,19.61,14.30,20.23,13.6,14.8,51.5,11.8,11.4,24.8,18.3
2018-12-26,31.17,25.55,30.70,22.7,29.9,103.4,59.9,11.2,53.1,44.5
2018-12-27,44.01,31.98,62.17,26.8,36.6,151.1,85.4,17.6,100.5,66.1
2018-12-28,52.47,39.18,78.75,29.6,48.5,115.9,167.0,17.6,117.0,70.7
2018-12-29,40.22,31.65,39.80,23.6,39.7,83.6,69.8,22.7,55.3,55.0
2018-12-30,42.84,33.17,66.78,24.0,38.1,94.5,54.4,23.1,55.5,65.8
2018-12-31,25.16,18.35,25.43,16.9,22.2,51.9,24.7,4.2,24.8,33.9
