Datum,Novi Sad Liman,Beocin Centar,Sremska Mitrovica,Beograd Mostar,Beograd Vracar,Beograd Zeleno brdo,Smederevo Centar,Obrenovac Centar,Smederevo Carina,Valjevo,Kragujevac,Cacak,Uzice,Nis IZJZ Nis
16.09.2018,10.69,9.96,21.90,39.68,22.84,17.02,27.94,37.27,15.27,16.35,26.15,13.53,22.29,24.09
17.09.2018,13.42,11.46,32.07,53.66,26.57,15.50,36.33,43.78,21.66,23.83,30.92,24.68,34.84,28.08
18.09.2018,16.85,16.42,32.54,58.96,25.98,15.33,45.96,35.79,22.01,22.53,33.71,32.93,37.79,30.73
19.09.2018,15.32,14.85,36.31,54.90,22.79,15.50,37.01,50.47,21.23,22.57,31.40,29.25,38.97,33.32
20.09.2018,18.27,15.20,41.44,,30.12,15.95,,58.26,28.30,22.51,32.33,33.73,37.97,37.14
21.09.2018,18.47,15.62,45.39,,28.78,16.94,,48.74,27.15,27.15,35.18,36.94,43.93,44.92
22.09.2018,15.45,11.20,22.24,36.92,22.30,20.73,,43.94,15.24,21.74,32.67,21.77,29.37,27.95
23.09.2018,10.75,11.47,26.22,37.35,19.11,16.89,,30.39,19.82,15.64,27.67,22.62,27.77,27.68
24.09.2018,9.87,9.94,20.30,29.40,19.89,20.23,19.79,36.88,11.21,23.05,32.98,14.60,23.15,25.38
25.09.2018,12.69,11.28,17.07,25.27,19.12,18.67,25.98,41.56,13.01,22.77,27.71,15.36,30.95,24.69
26.09.2018,16.95,15.92,24.07,32.28,21.44,19.61,27.70,49.07,18.77,23.18,29.78,19.13,32.51,24.85
27.09.2018,20.94,18.29,41.27,57.13,36.15,36.73,37.57,59.13,25.88,23.72,36.03,29.59,39.61,25.72
28.09.2018,20.61,21.00,47.14,80.41,45.12,29.93,52.27,50.47,31.68,27.41,36.79,42.42,43.55,33.17
29.09.2018,16.38,14.53,22.37,37.59,28.48,25.04,32.36,51.80,26.85,29.43,37.65,20.81,36.87,27.57
30.09.2018,9.00,13.61,20.31,29.32,17.22,15.29,26.42,28.12,16.28,15.85,27.42,24.05,23.26,15.59
01.10.2018,13.81,14.07,32.98,36.38,17.11,13.81,33.67,35.95,15.80,22.16,29.85,33.66,30.96,21.34
02.10.2018,17.87,13.81,23.16,28.73,19.14,24.92,19.82,26.59,16.29,20.31,33.80,25.13,16.37,17.79
03.10.2018,16.18,16.97,36.89,51.69,25.30,36.30,31.06,45.83,21.07,17.81,31.19,22.75,29.80,25.19
04.10.2018,15.99,14.49,35.60,56.77,34.25,28.67,35.65,43.40,26.22,21.26,35.96,29.26,29.28,28.07
05.10.2018,15.84,23.31,42.12,54.85,29.26,18.44,50.77,37.87,26.21,28.33,42.57,46.16,36.34,33.72
06.10.2018,9.96,17.39,37.65,47.26,16.26,17.08,43.36,32.07,23.06,25.26,31.75,34.19,45.44,31.35
07.10.2018,10.13,12.72,28.43,37.11,17.70,16.99,38.77,31.73,21.47,21.83,26.85,30.95,123.01,25.97
08.10.2018,16.62,14.55,27.91,48.25,35.54,32.82,44.38,47.09,27.86,25.30,42.86,28.39,145.14,35.35
09.10.2018,15.74,18.76,30.97,55.57,35.47,25.08,43.67,39.51,23.19,21.66,39.95,38.84,161.75,30.34
10.10.2018,19.69,24.37,45.94,70.06,40.86,19.58,51.07,44.39,25.34,21.27,40.76,40.89,163.16,34.21
11.10.2018,13.35,13.52,39.60,51.15,30.82,17.24,47.53,36.65,18.59,25.41,38.96,47.00,172.34,30.24
12.10.2018,19.99,23.34,39.43,58.11,35.04,18.93,52.41,41.76,21.52,26.79,36.93,50.18,174.08,38.86
13.10.2018,18.30,24.22,40.33,58.28,30.89,17.44,45.72,38.90,19.16,25.00,35.63,37.26,111.79,30.81
14.10.2018,8.34,11.83,26.41,41.45,23.55,16.00,33.24,26.33,15.51,18.37,31.83,33.77,38.39,27.32
15.10.2018,8.98,14.99,33.43,42.57,25.85,16.81,43.88,42.59,,32.88,33.84,48.00,44.64,29.68
16.10.2018,17.93,20.47,45.99,65.29,31.85,18.53,56.69,60.40,,28.73,39.52,24.15,46.77,36.45
17.10.2018,21.45,24.16,44.29,69.84,35.64,20.46,60.86,50.86,,30.05,48.79,,47.26,41.40
18.10.2018,21.59,26.01,47.18,66.15,39.72,19.68,54.39,52.29,,30.68,46.14,21.73,53.59,36.41
19.10.2018,18.64,16.99,33.91,49.76,41.86,31.94,44.76,58.53,,37.76,44.96,16.15,57.76,34.30
20.10.2018,14.75,14.05,26.17,41.15,27.66,29.49,22.05,40.68,,28.68,41.88,13.06,44.66,26.68
21.10.2018,10.08,11.40,17.75,23.01,22.38,17.79,18.33,26.27,,24.26,29.07,12.17,31.76,18.37
22.10.2018,15.83,14.46,24.89,27.34,23.53,21.67,18.49,26.43,,17.41,30.05,16.71,30.57,18.91
23.10.2018,18.00,14.99,35.40,41.66,28.58,30.60,27.22,41.89,,23.91,34.49,21.44,26.59,21.02
24.10.2018,20.78,15.98,25.56,36.85,30.66,27.76,22.65,29.65,,25.64,34.95,20.25,35.45,19.12
25.10.2018,22.49,19.35,41.39,52.57,34.35,28.70,32.45,41.01,,29.11,37.41,20.73,41.17,26.24
26.10.2018,24.91,16.70,38.65,60.88,38.96,27.65,45.73,44.11,,26.92,46.76,34.40,41.95,36.25
27.10.2018,12.58,12.19,42.10,56.40,33.08,20.30,47.64,38.25,,36.82,40.11,31.81,32.39,27.25
28.10.2018,7.56,7.99,17.21,37.56,21.77,15.00,25.54,14.28,,15.08,14.70,20.52,29.72,27.29
29.10.2018,9.66,8.44,17.02,36.63,23.14,15.48,30.94,18.88,,15.25,15.23,30.12,37.18,24.02
30.10.2018,12.61,10.41,26.87,45.74,28.88,22.94,33.01,41.47,,20.19,25.78,25.21,33.64,25.58
31.10.2018,33.30,28.01,41.79,80.16,43.52,19.96,46.68,48.09,,28.10,37.57,18.44,41.10,25.95
01.11.2018,20.13,,35.31,48.73,31.27,16.27,29.75,29.14,,29.27,31.18,28.27,38.76,35.54
02.11.2018,13.72,,27.68,32.13,21.11,13.16,26.04,18.92,,28.54,27.27,28.87,32.61,25.91
03.11.2018,12.51,16.52,29.72,31.50,20.18,12.17,25.51,20.17,,28.10,25.40,23.15,33.17,21.28
04.11.2018,10.26,13.50,29.18,29.99,18.11,12.18,30.07,21.55,,22.55,22.48,20.73,27.91,22.93
05.11.2018,14.12,16.31,32.29,41.59,22.17,14.80,33.69,18.12,,38.00,33.98,34.64,40.40,26.52
06.11.2018,9.88,9.75,27.77,33.88,19.36,13.63,31.13,17.47,,35.53,26.76,27.01,40.39,26.32
07.11.2018,9.14,11.79,28.66,32.68,18.81,12.64,32.35,15.63,,38.48,30.42,29.80,38.92,28.39
08.11.2018,20.79,20.52,33.22,41.72,22.91,17.11,38.07,33.64,,30.08,36.80,32.08,36.57,27.16
09.11.2018,23.76,22.75,39.94,54.47,31.28,19.85,49.45,44.54,,29.25,40.08,28.74,29.96,28.88
10.11.2018,32.36,29.68,43.99,63.38,35.96,20.50,51.61,45.50,,31.46,46.35,30.35,29.41,34.30
11.11.2018,27.16,23.42,41.02,68.18,37.17,23.30,50.10,49.80,,27.25,48.88,31.20,29.78,29.58
12.11.2018,31.18,25.67,43.21,64.21,40.99,22.47,53.07,43.78,,33.53,50.79,36.97,33.87,29.96
13.11.2018,22.20,17.97,40.08,47.78,23.70,17.27,44.28,24.45,,36.84,39.83,38.07,39.25,32.09
14.11.2018,23.75,21.54,28.66,39.12,32.24,24.91,26.93,28.91,,33.39,42.83,26.29,39.97,24.16
15.11.2018,25.31,18.43,,42.41,32.53,26.13,29.60,42.08,,37.07,44.24,29.87,36.91,27.18
16.11.2018,22.13,20.49,,35.83,27.40,21.48,34.02,35.74,,28.07,38.18,32.30,29.14,29.60
17.11.2018,13.43,12.35,26.32,27.25,20.40,11.94,34.48,21.31,,19.46,19.05,25.15,21.59,25.24
18.11.2018,11.37,10.49,17.11,19.73,17.18,11.46,26.93,21.00,,13.88,18.47,13.78,13.26,13.83
19.11.2018,15.12,17.93,23.43,31.16,24.88,23.21,32.78,25.33,,18.40,26.21,22.05,15.75,16.17
20.11.2018,12.53,10.86,22.85,28.00,18.29,13.48,20.03,26.39,,22.74,22.07,23.87,17.37,17.71
21.11.2018,14.03,12.83,19.01,28.61,21.02,17.75,28.12,19.53,,11.43,21.21,24.28,10.07,15.47
22.11.2018,13.50,13.57,23.86,24.62,17.61,14.30,25.93,15.87,,17.67,18.66,21.87,13.46,17.50
23.11.2018,16.00,16.06,23.17,27.57,18.80,16.31,28.17,20.29,,16.30,17.84,22.02,15.14,15.72
24.11.2018,21.57,19.61,25.41,27.45,19.59,14.45,25.18,22.84,,21.88,22.41,21.14,17.23,19.30
25.11.2018,19.59,19.39,20.89,28.28,20.03,15.84,19.68,17.30,,11.06,20.03,27.23,10.56,20.11
26.11.2018,15.71,12.98,19.58,25.89,18.65,21.03,23.50,19.23,,16.63,26.18,37.28,32.32,24.65
27.11.2018,14.62,10.25,14.75,15.51,15.68,14.27,14.11,21.18,,8.27,18.73,27.77,15.17,15.71
28.11.2018,21.48,8.38,17.69,28.15,25.57,24.58,20.63,40.79,,18.65,23.50,22.50,19.60,12.70
29.11.2018,10.69,9.73,25.00,32.35,18.74,,38.15,58.60,,20.42,22.09,25.81,24.46,23.49
30.11.2018,10.72,12.65,32.28,34.21,20.90,,39.49,36.13,,26.35,22.37,25.19,27.04,
01.12.2018,27.78,22.99,31.06,46.17,32.40,35.02,43.60,52.48,,28.68,39.14,33.92,36.39,
02.12.2018,27.94,24.72,32.00,52.98,31.09,26.82,44.12,83.55,,29.60,34.93,31.43,24.77,26.31
03.12.2018,40.57,28.36,38.11,58.29,35.56,30.44,49.90,113.47,,42.10,40.29,39.03,31.89,33.08
04.12.2018,24.70,19.49,28.01,39.92,32.49,34.50,34.72,106.70,,20.86,38.78,37.20,26.86,25.48
05.12.2018,21.25,17.01,29.10,36.31,29.51,31.09,24.08,68.75,,31.74,26.64,22.78,39.25,19.56
06.12.2018,21.34,23.59,35.53,59.36,36.15,32.29,38.35,62.62,,30.69,30.18,25.65,35.84,25.12
07.12.2018,32.23,25.82,36.11,61.70,40.10,36.96,41.36,73.09,,40.30,38.98,35.31,39.30,33.56
08.12.2018,22.89,18.67,29.47,48.19,36.02,35.57,32.99,96.15,,25.64,38.59,31.44,24.11,29.31
09.12.2018,19.45,18.89,28.46,49.63,29.22,27.47,29.78,101.16,,30.63,27.09,30.12,28.32,20.67
10.12.2018,19.24,23.56,22.67,40.22,31.50,28.13,21.61,93.05,,31.69,30.86,22.07,27.04,16.12
11.12.2018,20.82,27.84,34.28,46.06,32.10,34.81,29.55,79.26,,38.17,36.12,22.99,38.93,26.96
12.12.2018,17.44,30.11,28.88,37.92,27.56,27.43,28.23,76.75,,35.68,34.02,26.71,35.22,25.50
13.12.2018,16.19,16.73,23.71,33.24,23.70,19.54,28.94,47.43,,27.56,30.39,25.87,30.52,26.96
14.12.2018,16.69,16.50,20.39,25.65,22.11,16.07,32.10,22.72,,18.01,30.84,21.11,19.56,17.42
15.12.2018,14.32,20.16,17.10,28.76,21.06,23.65,28.52,30.85,,19.07,27.81,20.79,17.10,12.59
16.12.2018,15.61,23.02,26.31,35.09,24.49,25.09,22.30,26.37,,20.82,26.59,23.14,23.78,11.42
17.12.2018,31.51,25.64,36.02,41.57,31.99,30.25,31.26,39.62,,30.40,33.05,21.83,36.13,21.91
18.12.2018,25.62,23.47,27.05,38.45,31.42,40.52,31.79,35.85,,32.17,35.32,22.82,29.93,20.20
19.12.2018,24.18,31.90,36.76,46.10,35.76,39.75,47.72,31.33,,34.08,35.66,36.49,30.36,26.28
20.12.2018,38.29,42.60,41.73,55.41,39.74,30.86,41.86,51.41,,50.73,38.78,33.90,37.14,30.99
21.12.2018,65.82,61.53,66.19,88.70,51.47,52.88,55.62,63.25,,77.55,37.38,52.85,36.86,30.84
22.12.2018,21.60,127.86,66.80,76.35,40.38,43.14,50.14,53.99,,60.59,35.33,68.01,45.63,39.41
23.12.2018,18.78,58.64,37.62,63.90,32.41,34.22,30.68,46.60,,32.11,37.58,39.80,22.59,15.80
24.12.2018,12.03,78.18,26.20,38.23,29.30,24.43,20.62,22.35,,25.72,28.53,22.52,23.72,15.84
25.12.2018,16.62,15.81,21.64,35.58,28.74,25.09,24.51,18.10,,28.52,24.97,15.08,29.92,22.63
26.12.2018,19.56,36.86,35.06,48.92,32.98,36.61,31.72,36.47,,35.26,32.05,22.73,30.09,18.58
27.12.2018,21.05,17.17,31.08,46.07,29.41,33.93,33.33,37.40,,38.46,38.04,29.11,37.04,27.36
28.12.2018,23.28,19.03,32.37,49.17,31.17,38.63,35.93,36.01,,35.18,34.49,34.40,37.98,28.75
29.12.2018,18.09,21.05,24.19,37.80,26.40,30.83,25.23,23.27,,31.97,29.78,18.85,31.58,17.57
30.12.2018,15.87,,21.75,37.28,23.23,29.18,25.83,27.03,,22.99,27.78,25.29,24.89,14.27
31.12.2018,17.55,,15.98,25.40,22.30,18.98,17.38,17.64,,18.19,25.68,15.75,20.94,9.99
