Datum,Beograd Novi Beograd ,Beograd Stari grad,Beograd Vračar,Beograd Zeleno brdo,Kamenički Vis EMEP,Kikinda,Niš O.š. Sveti Sava,Novi Sad Liman,Popovac
20.12.2018,14.01,25.40,,35.36,62.71,48.18,44.10,41.01,54.15
21.12.2018,6.04,5.57,,33.84,66.05,57.65,25.96,16.39,20.83
22.12.2018,20.92,5.72,,46.68,70.54,47.94,27.26,61.38,12.23
23.12.2018,22.36,9.47,,40.33,64.50,40.45,17.47,42.10,10.54
24.12.2018,26.90,28.19,,47.90,65.23,30.29,20.13,63.71,16.85
25.12.2018,30.78,33.48,,38.25,53.39,41.70,33.83,34.26,41.00
26.12.2018,18.69,18.11,14.73,23.27,49.70,31.09,34.67,34.43,31.37
27.12.2018,18.95,11.03,11.34,22.63,52.68,28.66,24.38,33.30,37.19
28.12.2018,19.33,8.83,10.59,20.75,61.13,31.01,26.14,23.95,34.24
29.12.2018,16.39,15.12,12.79,24.04,54.51,19.19,23.46,29.29,25.59
30.12.2018,20.19,9.00,10.84,21.00,37.73,24.29,12.40,,11.93
31.12.2018,13.59,24.95,16.68,33.76,38.94,24.91,15.09,,12.84
