Datum,Beočin,Niš O.Š.Sveti Sava,Kosjerić,Beograd Mostar,Beograd Novi Beograd,Niš IZJZ,Smedervo Centar,Beograd Stari grad,Valjevo,Obrenovac Centar,Popovac,Bor Gradski park
31.10.2019,30.7,16.7,27.4,14.3,18.8,16.7,,18.3,35.3,27.4,6,9.4
1.11.2019,16.1,15.3,22.6,11.6,15,16,5.9,14.7,36.7,22.6,5.2,26.6
2.11.2019,21.1,22.3,42.7,16.6,18.9,25.3,6.5,19.5,55.7,42.7,7.9,41.8
3.11.2019,15.2,22.2,68.4,10.5,14.3,22.6,6.3,15.5,38,68.4,9.6,60.7
4.11.2019,8.2,11.4,24.2,9.9,12.3,14.8,7.3,12.7,29.9,24.2,8.6,54.7
5.11.2019,7.1,13.5,26.9,4.1,7.1,17.1,,7.5,12.4,26.9,5.9,10.3
6.11.2019,9.4,17.6,21.1,7.9,8.9,19,3.8,11.3,29.8,21.1,5.5,18.4
7.11.2019,18.1,36.2,28.6,17.1,18.3,46.9,,17.3,48.5,28.6,,16
8.11.2019,33.7,17.2,32,18.2,26.8,23.5,,24.3,60,32,5.5,26.9
9.11.2019,14.9,25.5,29,9,10.2,33.2,1.6,12.1,41.3,29,7.8,16.7
10.11.2019,15.7,20.3,20.3,16.6,24.6,30.8,,21.5,27.4,20.3,5.5,23.8
11.11.2019,23.6,43.7,52,22.5,26.8,64.8,,25.5,48.3,52,6.8,14.7
12.11.2019,15.8,27.9,67.9,16.7,20,41.4,21.4,22.1,54.7,67.9,10.2,26.7
13.11.2019,9.8,19,16.4,8.6,10.6,26.7,27.2,13.8,12.3,16.4,9.1,33
14.11.2019,27.5,22.8,42.9,18.6,24.8,32.4,27.5,21.8,32.4,42.9,10.7,30.5
15.11.2019,26.6,36.6,37,18.4,25.5,39.2,34.4,27.5,53.8,37,9.3,16.7
16.11.2019,16.1,16.4,94.9,12,14.9,23.2,24.2,16.7,77.1,94.9,8.2,18.7
17.11.2019,12.5,17.9,67.6,9.2,11.9,20.4,13.9,12.8,38.9,67.6,8,9.7
18.11.2019,23.6,25.5,47.5,12.8,16.8,32.5,26,17.3,38.9,47.5,7.3,18.1
19.11.2019,22.3,25.7,71.9,16.5,20.9,34.2,30,21.4,81.6,71.9,8.3,26.8
20.11.2019,16.6,28.4,63.5,11,13.5,32.5,26,15.8,38.8,63.5,7.3,18
21.11.2019,10.3,33,44,9.2,10.9,47.8,24.1,13.1,43.3,44,5.8,19.2
22.11.2019,5.4,8.6,61.1,4,3.3,9,6.7,5.2,54.8,61.1,4.7,14.2
23.11.2019,10.1,12.9,34.6,7.8,8.3,19.9,12.4,9,67.2,34.6,3.5,20.1
24.11.2019,14.4,31.2,92.6,9.2,10.6,39.6,14.2,12.6,63.7,92.6,3.9,10.2
25.11.2019,17.5,12.7,74.8,8.1,9.1,15.7,14.3,10.1,68.2,74.8,4.7,13.8
26.11.2019,46.4,26.2,59.1,24,39.6,25.3,31.7,27.9,71.4,59.1,,16.7
27.11.2019,47.1,50.1,50.3,29.4,39.7,65.9,38,37.2,136.8,50.3,,15.8
28.11.2019,18.2,28.1,80.5,16.4,20.9,32.5,48.9,23.5,133.7,80.5,,25.2
29.11.2019,23.7,39.7,41.1,25,23.5,52.1,77.2,20.5,76.7,41.1,,16.9
30.11.2019,23.5,35.6,53,11.3,19.1,37,20.6,16.3,49.5,53,,9.2
1.12.2019,24.3,43.2,76.1,25,28.5,62.7,56.7,25.1,75.4,76.1,,15.5
2.12.2019,19.7,57.5,87.9,15.5,21.1,81.4,32.6,19.6,126.4,87.9,,23.8
3.12.2019,37,33.1,56.7,21.4,29.4,,55.3,,60.5,56.7,,16.5
4.12.2019,59.2,52.1,68.4,39.5,49.2,55.8,119.3,47.9,58.8,68.4,,27.8
5.12.2019,53.1,43,70.5,38,46,69.5,95,44.2,53,70.5,,23.4
6.12.2019,71.8,71.2,80.7,54.1,68.8,108.6,118,67.5,128.7,80.7,13,30.3
7.12.2019,108.7,105.8,135.5,81.2,108.9,,138.6,104.8,214.1,135.5,16.3,29.9
8.12.2019,116.3,102.5,50.9,67,86.6,,102.4,82.7,115.3,50.9,15.4,10.9
9.12.2019,30.6,89.9,84.7,45.4,58.8,,62.2,50,180.1,84.7,9.9,19.4
10.12.2019,41.1,46.2,62,25.2,34.2,,40.4,,,62,9.9,32.9
11.12.2019,35.8,30.2,28.1,20.5,25.6,,23,24,43.8,28.1,11.4,35.2
12.12.2019,51,101.5,38.1,31.3,43.1,,37.7,39,84.3,38.1,6.1,11
13.12.2019,38.4,61.2,56,29.2,38.8,,30.4,31.6,51.8,56,7.3,14.4
14.12.2019,30.9,21.5,57.9,24.3,27,,51.6,21.3,60,57.9,9,22
15.12.2019,42.7,99.7,115,51.7,57.7,,68.4,50.9,135.8,115,8.5,18.3
16.12.2019,,95,133.3,79.3,91.1,,108.8,102.8,124,133.3,10.3,24.4
17.12.2019,,120.5,114.4,79.6,105.7,164.4,121.3,109.4,115,114.4,12,19.6
18.12.2019,52.2,121.7,143,90.1,113,140.3,135.3,,85.9,143,16.3,23.6
19.12.2019,65.1,109.3,131.9,73.8,101.4,139.8,92.6,,138.8,131.9,17.5,26.4
20.12.2019,19.2,108.2,168.7,22.8,27.5,104.9,35.2,29.7,134.1,168.7,12.3,52.9
21.12.2019,13.5,21.9,81.7,10,12.1,23.4,23.5,15.1,34,81.7,10.1,60
22.12.2019,12,10.4,39.7,7.4,8.4,14.7,20.9,9.8,44.7,39.7,4.9,54.7
23.12.2019,7.9,5.8,6.5,3.9,6.1,11.2,5,5,22,6.5,1.9,4.3
24.12.2019,12.8,8.6,26.4,9,10.5,11.3,9.8,9.4,53.1,26.4,2.4,3.1
25.12.2019,22.2,23.4,61,22.2,33.6,28.4,24,27.2,68,61,5.8,8.6
26.12.2019,21.2,18.7,45.3,15.1,,23.4,17.4,18.1,52.5,45.3,5,8.2
27.12.2019,23.4,25.5,62.5,20.5,30.9,32.6,23.4,27.8,54.6,62.5,6.9,13.1
28.12.2019,21.7,20.5,,9.3,,,12.2,11.1,,,4.5,9.9
29.12.2019,26.7,20.5,12.1,15.1,18.6,27.4,12.9,,,12.1,4,11
30.12.2019,53.7,28.5,,25,32.9,35.5,34,30.7,83.6,,6.1,17.9
31.12.2019,75.2,70,151.9,58,74.2,85,83.7,83.6,140.2,151.9,10.1,21.9
