Datum,Beocin_Centar,Beograd_N.Beograd,Beograd_Mostar,Beograd_Vracar,Kamenicki Vis - EMEP,Kosjeric,Kragujevac,Nis_IZJZ Nis,Novi Sad_SPENS,Uzice,Valjevo
2014-10-14,32.64,29.47,23.27,70.59,44.66,22.78,67.71,38.45,18.48,83.98,68.09
2014-10-15,31.48,27.36,18.52,55.23,47.97,19.81,24.7,38.51,18.57,81.74,63.16
2014-10-16,12.97,11.91,9.73,29.99,21.62,12.32,35.38,24.43,6.78,57.65,41.74
2014-10-17,10.95,12.8,11.6,33.65,16.29,11.14,21.78,22.84,6.87,50.88,43.2
2014-10-18,12.72,11.69,10.88,32.73,10.79,,27.75,21.94,6.09,38.07,26.54
2014-10-19,21.86,22.81,19.81,37.49,9.52,15.02,31.3,29.29,13.06,41.35,304.04
2014-10-20,20.98,18.82,17.54,47.0,17.2,16.45,43.05,40.74,17.0,61.49,48.14
2014-10-21,24.7,24.52,16.63,47.55,20.52,17.02,25.07,43.53,18.68,75.59,42.28
2014-10-22,13.71,13.28,9.59,21.03,12.5,12.07,23.06,29.66,8.73,36.79,33.12
2014-10-23,18.38,12.14,12.45,20.48,1.0,13.4,29.83,25.27,10.13,34.77,42.28
2014-10-24,,10.24,12.31,21.95,3.66,16.55,19.22,32.12,9.18,60.61,61.72
2014-10-25,,10.17,12.07,26.52,1.0,13.47,31.84,10.1,17.0,27.26,34.24
2014-10-26,,12.75,13.42,29.08,4.21,20.29,46.29,20.57,10.34,42.09,36.98
2014-10-27,,24.3,34.91,65.64,8.97,22.31,76.14,35.59,18.33,53.8,69.93
2014-10-28,,23.2,27.82,49.02,14.83,36.64,49.78,49.36,20.94,86.38,125.93
2014-10-29,,24.81,25.54,50.12,16.11,56.21,79.97,48.42,23.03,129.02,105.26
2014-10-30,,52.43,50.79,92.34,23.99,52.44,64.59,47.68,37.64,123.69,123.0
2014-10-31,,44.43,41.73,75.72,36.8,39.61,69.54,55.63,39.55,75.95,109.3
2014-11-01,,42.08,42.61,97.49,40.1,40.74,91.71,66.74,36.26,80.15,105.98
2014-11-02,,60.83,63.4,123.28,46.12,42.88,96.43,76.27,41.54,128.67,115.31
2014-11-03,,36.13,36.19,72.26,32.58,50.62,92.79,76.56,34.83,143.67,153.35
2014-11-04,,32.25,30.74,63.65,30.2,51.88,61.67,76.27,29.51,138.73,160.33
2014-11-05,,23.6,20.98,48.65,26.9,56.3,146.96,72.27,22.46,103.39,105.23
2014-11-06,,20.84,16.43,58.53,25.81,73.64,,55.74,19.08,174.39,111.66
2014-11-07,,19.78,15.73,61.08,41.91,52.51,,60.02,14.86,157.74,121.92
2014-11-08,,21.69,17.9,58.52,44.65,57.61,,57.34,18.61,117.12,101.77
2014-11-09,,36.13,27.72,68.57,26.54,55.18,65.88,43.72,29.94,110.9,104.9
2014-11-10,,36.04,28.78,62.92,19.12,44.71,79.42,57.55,36.75,110.34,100.88
2014-11-11,,34.76,54.76,60.91,28.55,61.83,82.35,57.05,31.86,129.76,149.75
2014-11-12,,16.61,25.58,34.93,16.84,57.59,38.61,38.34,14.68,149.0,133.1
2014-11-13,,11.39,,20.85,9.88,52.81,33.49,22.62,11.15,128.83,66.82
2014-11-14,,11.71,12.41,28.35,1.83,40.79,45.4,12.63,12.59,69.91,97.39
2014-11-15,,10.22,11.67,26.16,2.2,27.48,221.45,24.68,10.21,66.8,91.16
2014-11-16,,12.08,13.95,23.96,6.04,33.73,39.15,22.84,11.58,82.9,106.19
2014-11-17,,15.41,18.05,30.36,6.04,28.58,59.84,28.38,15.34,100.8,138.42
2014-11-18,,12.24,16.44,30.36,7.87,47.02,41.73,32.79,10.65,109.4,152.13
2014-11-19,,19.62,18.39,40.05,4.03,17.27,44.28,24.52,21.36,66.0,89.14
2014-11-20,,17.36,17.21,33.47,6.96,15.92,24.71,23.56,14.22,54.5,67.71
2014-11-21,,26.87,26.26,45.73,10.99,21.48,36.97,33.52,20.97,248.7,71.56
2014-11-22,,41.76,52.68,112.11,12.63,22.7,56.74,45.79,22.87,85.5,112.94
2014-11-23,,62.07,71.82,103.89,18.31,59.07,77.6,69.45,22.36,113.1,113.85
2014-11-24,,53.22,52.11,91.27,15.2,69.12,82.35,41.93,21.78,119.3,152.84
2014-11-25,,24.22,27.1,44.26,12.82,39.11,49.25,29.87,20.61,67.9,135.28
2014-11-26,,31.06,35.27,63.66,17.76,55.89,82.0,39.06,27.48,66.2,140.22
2014-11-27,,24.73,27.53,47.36,14.65,44.2,47.41,30.5,18.41,79.3,95.38
2014-11-28,,31.39,,50.84,14.1,64.6,82.55,44.01,19.78,209.7,303.86
2014-11-29,,50.97,48.19,72.42,7.51,110.9,43.56,42.54,42.08,291.5,203.97
2014-11-30,,28.12,28.19,41.88,3.66,53.86,40.44,25.37,21.41,186.6,108.75
2014-12-01,,11.3,14.89,26.88,2.04,33.37,26.9,10.8,10.58,63.49,68.46
2014-12-02,,6.58,9.37,19.02,1.28,23.18,25.07,11.09,6.38,42.27,44.85
2014-12-03,,,7.93,8.6,1.0,19.44,21.23,12.39,2.5,38.24,32.95
2014-12-04,,9.1,11.83,25.24,1.28,25.64,25.07,21.49,3.81,51.97,65.73
2014-12-05,,9.6,12.48,24.69,1.28,38.48,32.94,35.75,6.66,92.97,156.14
2014-12-06,,11.59,12.95,24.51,1.65,24.57,25.43,19.96,5.37,42.63,55.48
2014-12-07,,29.61,38.75,60.72,2.93,21.86,36.6,39.35,15.27,49.04,65.0
2014-12-08,,31.97,37.02,62.91,1.0,24.08,45.75,30.33,17.73,53.25,68.28
2014-12-09,,20.14,19.8,33.4,1.46,15.16,20.13,23.73,13.45,25.43,47.95
2014-12-10,,19.49,19.57,37.75,2.2,21.97,49.07,21.83,16.53,36.62,63.71
2014-12-11,,38.82,41.62,72.97,8.06,40.99,62.25,54.33,25.71,75.07,112.03
2014-12-12,,58.02,69.28,114.87,15.56,42.62,95.0,59.13,28.87,87.5,166.75
2014-12-13,,47.03,60.69,90.15,11.53,61.26,95.1,100.24,28.82,203.45,190.0
2014-12-14,,69.29,95.39,129.86,13.55,96.97,111.1,103.92,35.06,250.37,252.6
2014-12-15,,86.35,114.56,184.71,12.27,122.87,107.6,110.41,51.34,290.99,341.96
2014-12-16,,53.1,,66.39,,138.57,98.3,129.11,41.56,378.73,447.98
2014-12-17,,35.87,37.74,61.27,,88.63,60.0,96.49,31.61,314.19,129.97
2014-12-18,,62.64,59.89,100.23,,76.64,101.6,54.43,32.96,197.99,161.65
2014-12-19,,57.91,,98.77,,68.06,78.9,73.48,26.36,141.99,346.35
2014-12-20,,52.2,65.99,90.53,,89.5,110.0,85.81,18.31,228.8,235.95
2014-12-21,,13.37,14.95,31.46,,42.87,43.8,38.95,9.2,91.53,110.55
2014-12-22,,19.46,24.76,39.14,,83.33,57.6,86.62,8.97,62.03,263.94
2014-12-23,,40.59,64.31,87.97,,89.5,107.6,100.48,17.45,92.11,213.41
2014-12-24,,85.72,104.6,197.8,,88.36,135.1,104.14,25.45,228.23,167.09
2014-12-25,,84.24,94.45,121.27,,160.11,133.0,147.36,25.23,281.2,241.7
2014-12-26,,13.61,13.07,28.17,,35.8,36.1,52.92,6.49,91.16,57.46
2014-12-27,,17.33,21.31,40.24,11.65,41.05,11.5,43.39,12.35,82.92,79.99
2014-12-28,,29.7,30.35,39.69,12.55,47.65,43.0,32.64,20.03,92.06,48.15
2014-12-29,,35.72,44.59,45.54,16.62,53.5,106.6,30.47,29.66,82.6,117.7
2014-12-30,,42.06,33.82,50.01,28.3,71.57,69.7,39.18,36.4,76.3,93.6
2014-12-31,,68.5,66.34,103.19,14.9,64.64,97.6,32.08,53.21,71.9,150.1
