datetime,temp,humidity,windspeed,sealevelpressure
2019-04-28,13.5,68,14.8,1014.5
2019-04-29,15.1,62.1,29.5,1011.2
2019-04-30,12,78.2,34,1009.5
2019-05-01,12,77.3,25.9,1010.5
2019-05-02,13.9,67.4,22.3,1012.2
2019-05-03,15.1,58,13,1011.6
2019-05-04,15.4,56.9,14.8,1007.6
2019-05-05,14.9,79.8,19.3,1002.7
2019-05-06,9.4,84.7,31.7,1007.1
2019-05-07,7.9,73.1,29.5,1015.1
2019-05-08,11.4,59.3,10.5,1017.1
2019-05-09,10.4,79,16.6,1010.7
2019-05-10,13.7,73,18.4,1010.5
2019-05-11,14.8,67.2,9.4,1015.3
2019-05-12,15.3,72.6,31.7,1014.5
2019-05-13,15.2,79.3,35.3,1015.2
2019-05-14,11.1,92.9,42.5,1014
2019-05-15,10.3,76.2,24.1,1014.1
2019-05-16,10.4,80.9,29.5,1013.6
2019-05-17,13.1,80.5,13,1013.1
2019-05-18,16.9,69.9,15.4,1010
2019-05-19,19.4,70,18.4,1006.4
2019-05-20,17.2,69.4,14.8,1008.7
2019-05-21,16.8,58.4,16.6,1012.4
2019-05-22,18.3,62.9,24.1,1013.6
2019-05-23,15.4,78,25.9,1014.8
2019-05-24,14.5,77.9,18.4,1013.1
2019-05-25,16.7,74.8,24.1,1014.4
2019-05-26,19.2,66.2,9.4,1015.6
2019-05-27,19.4,73.4,13,1014
2019-05-28,19.7,67.2,20.5,1009.1
2019-05-29,19.2,72.2,13,1011.7
2019-05-30,17.8,72.7,33.5,1017.8
2019-05-31,14.4,79.3,29.5,1020.8
2019-06-01,16.4,79.3,22.3,1017.5
2019-06-02,16.5,86.1,27.8,1016.9
2019-06-03,17.7,81.1,18.4,1013.5
2019-06-04,17.3,79.1,11.2,1013.1
2019-06-05,19,76.7,13,1012.2
2019-06-06,20.4,73.3,14.7,1014.8
2019-06-07,22.5,67.7,11.2,1017.7
2019-06-08,23.9,64.4,14,1019.1
2019-06-09,23.7,71.1,25.9,1020.2
2019-06-10,24.9,62.8,13,1016.2
2019-06-11,20.9,73.6,11.2,1013.5
2019-06-12,23.3,69.7,13.7,1014.3
2019-06-13,25.8,64.1,8.8,1014.9
2019-06-14,25.9,66.9,24.1,1016.8
2019-06-15,26.2,59.8,13,1015.5
2019-06-16,25.2,64.2,17.3,1012.7
2019-06-17,22.6,72.1,29.5,1015.3
2019-06-18,21.2,79.8,16.6,1015.6
2019-06-19,20.9,82.4,7.6,1014.1
2019-06-20,22.1,72.5,27.7,1013
2019-06-21,23.7,66.6,19.3,1015.2
2019-06-22,24.4,64.2,11.2,1016.5
2019-06-23,25.3,62.6,41.8,1013.3
2019-06-24,22.4,71.8,17.6,1016.7
2019-06-25,24.1,67.1,35.3,1020.8
2019-06-26,24.8,66.3,14.8,1022.8
2019-06-27,25,66.3,22.3,1018.3
2019-06-28,23.5,64.2,38.9,1014.6
2019-06-29,21.3,50.6,27.7,1019.1
2019-06-30,21.9,55.2,14.8,1021.5
2019-07-01,24.8,52.7,13,1019
2019-07-02,27.2,54.4,22.5,1014.2
2019-07-03,26,59.3,31.7,1014.8
2019-07-04,25.9,51.4,18.4,1017.4
2019-07-05,24.4,55.8,20.5,1015.9
2019-07-06,24.9,52.7,13,1014.1
2019-07-07,26.2,47.9,36.9,1009.4
2019-07-08,22.4,66.7,37.1,1013.1
2019-07-09,20.5,75.6,24.1,1013.8
2019-07-10,16.7,84.3,27.7,1013.6
2019-07-11,17.4,61.5,20.5,1013.6
2019-07-12,18.8,56.1,16.6,1013.6
2019-07-13,19.7,61.2,13,1010.9
2019-07-14,17.7,79.9,24.1,1010
2019-07-15,19.6,69.8,25.9,1010.8
2019-07-16,20,59.5,24.1,1011.4
2019-07-17,21.6,53.4,27.7,1012.1
2019-07-18,22.1,53.3,16.6,1012.8
2019-07-19,21.9,60.2,27.7,1016.1
2019-07-20,23.7,55.6,13,1018.4
2019-07-21,25.4,52.5,13,1018.8
2019-07-22,24.2,60.2,33.5,1019.8
2019-07-23,24.6,55.4,33.4,1017.7
2019-07-24,25.2,51,27.7,1016.1
2019-07-25,24.5,55.9,18.4,1017.5
2019-07-26,25.6,54.7,14.8,1012.8
2019-07-27,25.7,64.1,11.2,1007.3
2019-07-28,25.4,66.4,16.6,1004.5
2019-07-29,21.6,84.7,18.4,1004.8
2019-07-30,23,76.4,18.4,1009.1
2019-07-31,24.5,71.8,20.5,1011.8
2019-08-01,25.2,70.5,31.7,1013.3
2019-08-02,24.4,69.5,21.6,1012.3
2019-08-03,21.1,78.9,25.9,1009.4
2019-08-04,20.1,70.6,22.3,1014
2019-08-05,20.4,62.1,17.3,1016.6
2019-08-06,21.8,58.9,9.4,1016.8
2019-08-07,24.7,56.6,11.2,1014.5
2019-08-08,26.5,55,11.2,1012.3
2019-08-09,26.7,57.7,22.9,1013.8
2019-08-10,26.6,59.9,13,1015.5
2019-08-11,27,57,13,1015.8
2019-08-12,28.3,49.4,22.9,1014.2
2019-08-13,29.4,36.4,25.9,1011.3
2019-08-14,21.6,69,48.2,1011.7
2019-08-15,18.7,72.7,27.7,1015
2019-08-16,18.2,62.8,22.9,1016.2
2019-08-17,19.4,62.2,17.3,1017.4
2019-08-18,21.7,54.5,10.8,1017.3
2019-08-19,23.7,48.6,13,1017.4
2019-08-20,25.1,48.9,15.7,1018.8
2019-08-21,25.4,44.3,14.8,1018.7
2019-08-22,24.9,54,25.9,1020.5
2019-08-23,26.5,50.3,18.4,1020.5
2019-08-24,27.1,45.7,22.3,1018.7
2019-08-25,25.9,58.3,22.3,1018
2019-08-26,25.5,61.5,18.4,1018.6
2019-08-27,25.3,53.1,24.1,1018.7
2019-08-28,25.2,45.9,18.4,1018.7
2019-08-29,24.6,41.7,14.8,1017.7
