datetime,temp,humidity,windspeed,sealevelpressure
2019-04-30,11,90.4,31.1,1009
2019-05-01,11.9,86,26.2,1009.3
2019-05-02,14.8,68.1,22.5,1010.7
2019-05-03,16,61.4,32.4,1009.9
2019-05-04,16,66,16.8,1006
2019-05-05,13,89.7,27,1001.9
2019-05-06,7.1,91.4,27.2,1008.6
2019-05-07,8.5,80.2,27.5,1016.2
2019-05-08,10.6,65,11.9,1016.6
2019-05-09,12.2,78.8,11.9,1007.8
2019-05-10,14.1,76.3,23.1,1010.2
2019-05-11,16.4,65.1,13.7,1014.1
2019-05-12,18.5,60.4,28.5,1012.9
2019-05-13,17.6,67.1,28.7,1016
2019-05-14,8.9,92.9,23.6,1016.4
2019-05-15,8.9,84.2,20.7,1014.5
2019-05-16,10.6,83.1,9.4,1014.4
2019-05-17,12.8,81.8,11.2,1013.2
2019-05-18,16.7,73.9,19.2,1009.2
2019-05-19,17.5,82.3,29,1005.8
2019-05-20,16.5,74.9,25.7,1006.8
2019-05-21,16.8,66.4,22,1010
2019-05-22,17.5,73.1,21.5,1012.5
2019-05-23,16.4,77.4,25.1,1014.6
2019-05-24,15.3,76.2,20.2,1013
2019-05-25,18.7,68.5,18.4,1013.5
2019-05-26,20.2,62.7,12.1,1014.6
2019-05-27,19.1,81.6,15,1012.5
2019-05-28,19.3,79.3,25.9,1007.5
2019-05-29,18.4,82.9,11.7,1010.3
2019-05-30,15.7,83.1,23.8,1019.1
2019-05-31,13.8,87.3,20.2,1021.8
2019-06-01,15.1,93.6,15.5,1017.7
2019-06-02,17.9,81.3,9,1017.4
2019-06-03,18.8,80.9,14.5,1014
2019-06-04,19.1,85.4,18.4,1012.2
2019-06-05,18.7,87.5,14.3,1010.9
2019-06-06,20.7,74.9,17.9,1012.9
2019-06-07,23.7,68.9,9.5,1016.1
2019-06-08,24.9,68.7,27,1018.2
2019-06-09,23.7,68.8,11.2,1021.1
2019-06-10,24.8,69.9,13.1,1016
2019-06-11,24.6,66.8,19.5,1012.6
2019-06-12,24.9,68.6,21.2,1013.3
2019-06-13,27.2,65.3,11.9,1012.9
2019-06-14,26.6,58.7,13.2,1016.7
2019-06-15,26.5,62.7,13,1014.7
2019-06-16,27.2,60.3,19,1011.8
2019-06-17,22.5,79.9,36.1,1015.9
2019-06-18,22.7,79.4,12.7,1015.7
2019-06-19,22.7,80.7,25.6,1013.1
2019-06-20,22.5,80.5,40.9,1012
2019-06-21,23.6,75.3,8.9,1014.7
2019-06-22,24.7,72.4,12.7,1015.7
2019-06-23,21.9,83.6,26.4,1013.5
2019-06-24,22.1,81.8,12.7,1017.1
2019-06-25,24.3,77.3,11.2,1021.6
2019-06-26,26.3,70.2,10.8,1023.2
2019-06-27,26.5,69.8,19.8,1018.1
2019-06-28,23,70.9,20,1016.2
2019-06-29,21.7,59.1,15.5,1020.4
2019-06-30,22.8,64.3,8.9,1021.5
2019-07-01,25.8,63.2,11.4,1017.6
2019-07-02,27.1,65.8,10.8,1013.5
2019-07-03,24.9,63.1,18.5,1016
2019-07-04,22.8,64.5,19,1018.4
2019-07-05,23.2,65.9,9,1016.3
2019-07-06,25.2,62,11.9,1012.9
2019-07-07,24.9,64.5,26.4,1008.3
2019-07-08,21.8,72.8,15.5,1013.3
2019-07-09,20.6,74,11.2,1014.5
2019-07-10,17.4,81.3,17.3,1014.3
2019-07-11,18.1,66.7,15.5,1013.5
2019-07-12,18.8,68.4,12.7,1013.1
2019-07-13,19.1,75.1,16.8,1010.6
2019-07-14,18.5,80.3,21,1010.1
2019-07-15,19.1,72.1,15.5,1011.3
2019-07-16,20.1,61.5,13,1012.1
2019-07-17,21.3,63,16.8,1012.4
2019-07-18,22.3,64,12.5,1012.5
2019-07-19,23,64.7,19.7,1016.1
2019-07-20,24.3,63.8,7.7,1017.8
2019-07-21,26,58.2,7.6,1018.3
2019-07-22,24.8,66.1,19.4,1020.6
2019-07-23,24.5,64.2,18.4,1018.1
2019-07-24,23.4,64.5,15.5,1017.3
2019-07-25,24.8,62.1,10.1,1017.5
2019-07-26,26.1,59.5,10.3,1011.7
2019-07-27,26.5,62,13.7,1005.6
2019-07-28,25.2,69.1,25.9,1002.2
2019-07-29,22.3,80.4,16.8,1004
2019-07-30,23.8,75.7,15.5,1009.2
2019-07-31,26,72,18.4,1011.2
2019-08-01,24.8,72.3,16.8,1013.8
2019-08-02,24.1,72.9,18.4,1012
2019-08-03,20.6,84.7,26.2,1009.4
2019-08-04,19.6,78.5,17.4,1014.1
2019-08-05,21.3,67.1,10.8,1016.2
2019-08-06,23.7,58.8,13.4,1014.8
2019-08-07,26.6,59.3,14.5,1012.1
2019-08-08,27.1,62.4,14.6,1011.3
2019-08-09,25,66.1,18.7,1014.9
2019-08-10,26.6,61,14.3,1014.9
2019-08-11,27,61,10.7,1015.6
2019-08-12,29.1,54.1,29.6,1013
2019-08-13,29.1,48.6,26.2,1010.6
2019-08-14,19.4,82.5,26.4,1013.8
2019-08-15,19.6,63,17.3,1015.7
2019-08-16,19.2,60.9,19.9,1016.4
2019-08-17,21.4,64,9,1017.1
2019-08-18,23.1,56,8.8,1016.3
2019-08-19,25.8,48,11.2,1016.4
2019-08-20,27.3,49,15.5,1017.8
2019-08-21,27.8,45.2,18.2,1018.5
2019-08-22,23.6,65.4,19.2,1021.8
2019-08-23,25.6,67.9,10.7,1021.1
2019-08-24,27,54.8,19.4,1019.1
2019-08-25,25.2,63.5,23.8,1018.4
2019-08-26,25.9,61.7,23.1,1018.3
2019-08-27,25.5,64.7,20.5,1018.7
2019-08-28,26.8,48.2,25.1,1017.9
2019-08-29,26.5,41.2,19.5,1017
2019-08-30,25.5,53.3,10.1,1018.1
2019-08-31,25.9,56.1,9.5,1016.3
2019-09-01,26.2,40.7,18.9,1013.2
2019-09-02,25.4,36.9,21.5,1012.5
2019-09-03,19.4,68.9,22.8,1019
2019-09-04,18.9,69.7,16.8,1019.9
2019-09-05,20.3,66,8.2,1014.7
2019-09-06,22.1,55.8,11.3,1016.3
2019-09-07,21.5,65.6,36.3,1015.2
2019-09-08,20.4,76.2,19.2,1015.5
2019-09-09,21.2,64.9,34.8,1012.9
2019-09-10,18.1,78.5,12.5,1018.8
2019-09-11,20.7,63.2,18.9,1020.8
2019-09-12,20.9,63.8,21.4,1025.6
2019-09-13,20,63,15.8,1028.3
2019-09-14,19.9,66.2,12.9,1027.1
2019-09-15,19.6,61.6,9.4,1025.4
2019-09-16,20.8,59.5,8.6,1018.7
2019-09-17,21.6,56.7,13.2,1014
2019-09-18,15.7,72.9,19,1019.6
2019-09-19,12.9,62.6,10.8,1023.6
2019-09-20,11.7,57.5,15,1026
2019-09-21,12.7,53.2,12.4,1026
2019-09-22,16.2,49.8,11.9,1019.3
2019-09-23,18.7,58.7,12.7,1013.1
2019-09-24,15.8,92.5,14.8,1011.4
2019-09-25,16.3,86.1,8.9,1011.9
2019-09-26,15.9,93.3,17.9,1013.3
2019-09-27,16.9,75.8,13.2,1018
2019-09-28,18.9,68.5,12.7,1017.2
2019-09-29,18.7,74.1,10.3,1016.5
2019-09-30,21.1,61.6,24.6,1010.6
2019-10-01,19.8,48,14.3,1014
2019-10-02,20.8,53.4,17.1,1006.5
2019-10-03,13.4,86.6,28.5,1010.5
2019-10-04,12.1,70.2,13.5,1013.5
2019-10-05,11.6,74.3,12.7,1010.3
2019-10-06,10.7,80.7,27.9,1015.2
2019-10-07,10.7,69.7,15.5,1016.1
2019-10-08,10.2,55.1,17.2,1021.4
2019-10-09,15.2,53.5,17.6,1016.6
2019-10-10,14.7,69,18.9,1017.7
2019-10-11,13.2,74.4,11.9,1025.3
2019-10-12,14.6,70.1,9.4,1022.9
2019-10-13,15.9,74.4,7,1022
2019-10-14,16.8,74.3,6.8,1020.1
2019-10-15,16.9,76.1,8.9,1016.3
2019-10-16,17.5,59.9,8,1015.7
2019-10-17,16.3,74.7,9.9,1018.5
2019-10-18,16.8,75.8,10.7,1017.3
2019-10-19,17.1,73.1,7,1017.2
2019-10-20,16.8,72.5,10.8,1019.2
2019-10-21,16.9,68,8.2,1021.5
2019-10-22,17.4,65.9,9.3,1022.8
2019-10-23,18.1,60.3,13.7,1020.3
2019-10-24,17.8,56.5,12.8,1016.6
2019-10-25,15,69.1,9.4,1019
2019-10-26,14.7,76.8,9.5,1023.4
2019-10-27,13.2,76.9,6.4,1019.9
2019-10-28,13.1,78.1,11.2,1016.7
2019-10-29,11.8,83.2,18.4,1018.1
2019-10-30,8.3,89.3,18.7,1024.3
2019-10-31,6.7,84.7,14.8,1025.4
2019-11-01,7.5,73.3,24.9,1022.4
2019-11-02,11.1,72.7,30.6,1011.5
2019-11-03,16.5,67.9,29.6,1003.3
2019-11-04,16.9,69.8,33.7,999.9
2019-11-05,18.1,52.7,35.6,1003.8
2019-11-06,14.3,83.4,25.4,1005.3
2019-11-07,13,87.1,14.5,1007.9
2019-11-08,13.6,89.8,17.4,1008.1
2019-11-09,15.2,65,22,1009.9
2019-11-10,12,91.6,15.3,1009.5
2019-11-11,10,88,16.6,1017.5
2019-11-12,14,71.5,36.9,1008.4
2019-11-13,16.8,64,50.8,1002.7
2019-11-14,10.9,93.6,16.1,1010.5
2019-11-15,13.7,77.6,29,1012.7
2019-11-16,15.3,64.8,27.9,1015.8
2019-11-17,14,67.4,44.3,1014.6
2019-11-18,14.1,67.8,35.6,1015.1
2019-11-19,12.1,76.6,24.4,1020.1
2019-11-20,13.4,73.7,37.1,1013.7
2019-11-21,12.8,69.3,27.7,1014.7
2019-11-22,8.4,68.1,36.9,1017.3
2019-11-23,6.5,67.3,30.8,1017.1
2019-11-24,7.7,69.1,31.7,1014.8
2019-11-25,8.9,73.6,34.3,1012.2
2019-11-26,8.1,82.3,16.1,1012.6
2019-11-27,7.5,84.1,14,1009.5
2019-11-28,11.4,90,23.3,1005.8
2019-11-29,10.5,89.2,15.5,1007.9
2019-11-30,6,73,31.9,1018.8
2019-12-01,1.8,66.8,20.2,1026
2019-12-02,4.6,69.8,25.1,1019.6
2019-12-03,2.7,89.8,20.7,1026.7
2019-12-04,0.1,95.9,11.2,1030.5
2019-12-05,-0.7,93.9,14.3,1029.5
2019-12-06,0.2,94.6,8.9,1025.6
2019-12-07,4.6,92.3,10.1,1018.6
2019-12-08,3.5,98.9,10.8,1019.6
2019-12-09,6.4,83.6,16.3,1010.9
2019-12-10,6,94.7,20.5,1013.6
2019-12-11,3.5,84.5,17.1,1018.3
2019-12-12,3.4,93.3,14,1007.4
2019-12-13,6.1,81.7,28.5,996.4
2019-12-14,5.9,87,29,1000.2
2019-12-15,5.7,80.3,18.7,1016.2
2019-12-16,6.6,77.7,8.3,1021.1
2019-12-17,7.6,79,6.4,1021.2
2019-12-18,6.7,87,11.6,1024.4
2019-12-19,7.3,83.9,11.2,1024.4
2019-12-20,10.4,65.1,20.1,1013.9
2019-12-21,14,60.3,28.5,1001.2
2019-12-22,11.8,79.2,34.8,990.8
2019-12-23,7.2,92.9,38.3,995.3
2019-12-24,6.6,80.4,39.4,1010.4
2019-12-25,5.3,87.9,18.4,1012.9
2019-12-26,4.7,90,31.1,1019.9
2019-12-27,2.4,88.6,16.8,1023
2019-12-28,1.4,92.8,26.2,1027.2
2019-12-29,0,86.4,23.3,1033
2019-12-30,-2.4,87.8,15.3,1037.8
2019-12-31,-2.5,87.7,15.9,1031.5
2020-01-01,0,89.2,17.1,1033.2
2020-01-02,0.1,89.3,11.7,1033.8
2020-01-03,-3,97.2,11.7,1028.5
2020-01-04,-1.6,98.5,12.2,1024.4
2020-01-05,1.9,80.8,35.8,1025.8
2020-01-06,-1.5,79.2,15.5,1032.1
2020-01-07,-2.3,83,7.3,1030.2
2020-01-08,-2.3,88.9,9.5,1033.4
2020-01-09,1.2,79.1,9.8,1029.3
2020-01-10,1.6,79.8,8.3,1023.5
2020-01-11,1.7,86.4,14.8,1028.8
2020-01-12,-1.3,98.7,9.1,1031.4
2020-01-13,-1.8,99.7,7.8,1029
2020-01-14,-1.8,98.1,8.6,1027.2
2020-01-15,-2,99.1,7,1029.6
2020-01-16,-1.9,98.7,6.7,1031.7
2020-01-17,-1.2,98.3,15.3,1029.3
2020-01-18,-1.4,96.8,11.5,1026.1
2020-01-19,-0.4,98.3,9.5,1030
2020-01-20,0.5,96.1,10.7,1043.4
2020-01-21,1.4,85.5,10.6,1044.7
2020-01-22,0.1,83.4,15,1033.1
2020-01-23,0,85.3,18.9,1035.5
2020-01-24,-0.5,77.9,14.5,1028.8
2020-01-25,1.8,76.6,11.1,1024.6
2020-01-26,6,77.7,13,1021.5
2020-01-27,3.3,98.6,18.1,1018.2
2020-01-28,5.4,84,22.5,1010.6
2020-01-29,4.4,86.8,38.6,1010.9
2020-01-30,3.7,77.9,26.2,1019.3
2020-01-31,7.8,60.8,18.9,1014.9
2020-02-01,11.6,64.5,14.2,1016.3
2020-02-02,11.5,70.5,18.4,1015.4
2020-02-03,10.4,79.8,15,1014
2020-02-04,8.5,80.6,38.9,1004.1
2020-02-05,2.6,82.1,52.6,1006.9
2020-02-06,0.7,63.2,44.9,1024.4
2020-02-07,3.6,76.6,21.7,1025.9
2020-02-08,1,57.5,12.9,1031.3
2020-02-09,2.8,64.3,14.8,1029.2
2020-02-10,8.7,56.8,36.9,1015.6
2020-02-11,6.5,84.6,43.6,1010.7
2020-02-12,5.8,72.4,20,1018.8
2020-02-13,5.3,65.8,21.2,1022.2
2020-02-14,6.8,79.6,16,1017
2020-02-15,5.2,86.8,14,1028.3
2020-02-16,6,74.5,22,1029.2
