Datum,Beograd_Mostar,Kamenicki Vis - EMEP,Kikinda
2015-06-01,37.91,115.88,115.63
2015-06-02,44.58,119.38,115.25
2015-06-03,60.76,119.63,119.13
2015-06-04,52.75,122.63,125.38
2015-06-05,28.91,118.75,101.59
2015-06-06,42.06,118.13,121.13
2015-06-07,56.23,128.63,112.88
2015-06-08,43.38,129.88,121.88
2015-06-09,57.19,131.63,105.84
2015-06-10,22.14,131.50,98.70
2015-06-11,35.99,119.38,98.56
2015-06-12,31.78,124.13,117.75
2015-06-13,42.38,125.25,112.63
2015-06-14,,122.75,109.13
2015-06-15,,122.63,100.40
2015-06-16,23.79,104.64,88.51
2015-06-17,28.75,97.89,91.50
2015-06-18,23.76,69.76,93.75
2015-06-19,39.69,130.63,103.68
2015-06-20,30.79,123.93,90.19
2015-06-21,32.30,91.09,90.43
2015-06-22,46.04,112.75,91.14
2015-06-23,43.01,113.13,97.98
2015-06-24,36.63,107.75,83.89
2015-06-25,19.61,96.75,83.01
2015-06-26,,97.19,82.28
2015-06-27,,110.38,106.73
2015-06-28,,110.63,100.39
2015-06-29,22.55,96.46,90.00
2015-06-30,24.91,96.55,96.70
2015-07-01,43.27,104.98,110.13
2015-07-02,53.30,123.38,123.88
2015-07-03,50.06,125.38,94.65
2015-07-04,,104.25,101.13
2015-07-05,53.96,120.88,119.63
2015-07-06,75.23,129.75,128.00
2015-07-07,71.70,130.63,158.38
2015-07-08,35.33,134.50,135.63
2015-07-09,27.26,135.38,95.18
2015-07-10,59.90,123.88,104.16
2015-07-11,68.98,138.00,118.50
2015-07-12,71.48,140.38,111.00
2015-07-13,50.69,145.75,100.18
2015-07-14,35.99,126.25,92.01
2015-07-15,37.01,124.25,92.91
2015-07-16,56.10,126.38,109.38
2015-07-17,67.75,122.75,122.88
2015-07-18,67.63,129.13,126.00
2015-07-19,56.84,135.13,122.75
2015-07-20,45.94,143.38,126.88
2015-07-21,54.15,138.63,103.64
2015-07-22,57.54,138.63,110.13
2015-07-23,60.04,127.25,115.88
2015-07-24,64.86,127.75,127.25
2015-07-25,,141.00,126.25
2015-07-26,49.38,133.75,103.54
2015-07-27,41.47,135.00,96.96
2015-07-28,44.18,129.00,99.90
2015-07-29,68.98,149.38,115.50
2015-07-30,38.85,141.75,90.24
2015-07-31,32.13,113.48,74.90
2015-08-01,62.74,109.75,109.88
2015-08-02,32.00,105.00,111.75
2015-08-03,29.89,107.13,110.75
2015-08-04,50.05,126.13,130.75
2015-08-05,71.43,144.00,121.38
2015-08-06,42.69,145.88,119.50
2015-08-07,64.96,141.25,122.50
2015-08-08,74.21,140.00,124.13
2015-08-09,75.06,133.63,126.88
2015-08-10,68.51,126.75,123.00
2015-08-11,72.14,138.13,123.75
2015-08-12,81.91,148.25,129.38
2015-08-13,,148.13,133.63
2015-08-14,,140.25,134.38
2015-08-15,102.06,153.13,144.75
2015-08-16,91.46,146.50,132.00
2015-08-17,13.94,118.35,79.04
2015-08-18,11.21,104.50,53.41
2015-08-19,38.75,104.31,85.35
2015-08-20,10.69,92.90,53.40
2015-08-21,8.02,64.34,60.28
2015-08-22,23.68,63.81,77.30
2015-08-23,26.31,75.48,85.70
2015-08-24,35.79,94.75,97.66
2015-08-25,21.64,116.96,96.73
2015-08-26,26.43,135.25,80.18
2015-08-27,39.14,,122.13
2015-08-28,64.66,,124.13
2015-08-29,75.44,,127.88
2015-08-30,63.46,137.00,122.75
2015-08-31,56.28,131.25,122.13
2015-09-01,58.84,129.38,138.63
2015-09-02,58.40,149.50,126.88
2015-09-03,55.61,148.13,115.65
2015-09-04,42.95,137.00,105.81
