Datum,Beograd Stari grad,Beograd Vracar,Bor Institut RIM,Cacak,Kamenicki Vis EMEP,Kikinda Centar,Kostolac,Krusevac,Novi Sad SPENS,Nis IZJZ Nis,Nis O.s. Sveti Sava,Sremska Mitrovica,Sabac,Smederevo Carina,Uzice,Valjevo,Zajecar
2015-11-01,0.10,0.39,1.02,0.95,0.32,,0.29,2.18,0.54,0.77,0.87,0.97,0.97,0.69,,1.70,2.19
2015-11-02,1.59,3.70,1.43,1.21,0.36,2.07,1.0,4.96,1.13,1.92,1.86,5.22,5.68,2.52,,1.90,6.67
2015-11-03,2.48,4.23,1.76,1.55,0.40,2.11,1.1,5.69,1.16,2.38,1.77,5.42,6.49,2.46,,2.65,6.08
2015-11-04,2.99,6.03,1.91,1.65,0.36,2.38,1.48,5.72,2.06,3.03,2.77,6.15,7.70,2.53,,2.94,4.93
2015-11-05,2.94,6.23,1.94,1.70,0.50,1.47,1.79,5.93,1.97,2.86,2.43,6.56,7.77,2.84,,2.87,5.69
2015-11-06,3.44,4.53,1.42,1.59,0.68,1.53,1.82,,1.77,2.38,2.04,6.68,6.06,2.55,,2.67,8.82
2015-11-07,1.88,3.58,1.05,1.56,0.59,0.71,1.36,6.51,1.48,2.54,1.87,3.59,6.64,2.09,,2.45,8.09
2015-11-08,2.04,3.84,1.00,1.76,0.62,0.85,0.95,7.08,2.07,5.04,4.17,6.79,7.44,1.89,,2.60,3.32
2015-11-09,0.74,1.21,0.30,1.08,0.47,0.50,1.29,7.20,2.00,5.22,4.24,7.73,8.12,1.67,,2.25,2.21
2015-11-10,0.31,0.58,0.46,0.50,0.42,0.40,0.83,4.57,0.75,3.19,3.15,2.84,2.78,0.48,,0.27,0.74
2015-11-11,0.40,1.09,0.39,0.59,0.41,0.44,0.8,4.66,1.47,2.13,1.86,2.44,2.35,0.44,,0.32,2.68
2015-11-12,1.16,2.11,0.48,0.78,0.43,0.68,1.25,4.09,1.44,1.84,1.61,2.92,3.75,1.29,,0.23,3.01
2015-11-13,1.33,2.42,1.49,0.84,0.41,0.67,1.24,4.21,1.02,2.24,1.84,2.58,4.98,1.22,,0.51,2.05
2015-11-14,0.58,0.79,1.45,0.96,0.49,0.60,0.59,4.35,1.40,2.28,2.11,5.06,4.86,0.53,,0.58,2.02
2015-11-15,0.74,1.28,0.87,2.35,0.42,0.53,0.65,3.05,1.44,3.09,3.02,5.16,5.14,0.81,,3.33,4.13
2015-11-16,0.78,1.39,,2.83,0.42,0.59,0.74,2.97,1.10,3.17,3.34,4.47,5.10,0.82,,3.45,4.19
2015-11-17,1.24,1.53,,1.78,0.43,0.78,0.79,4.70,1.63,3.20,2.95,4.97,5.79,0.80,,2.41,4.34
2015-11-18,0.86,1.66,,3.23,0.51,0.71,1.09,5.59,1.65,3.75,4.18,5.35,6.03,0.91,,1.60,2.93
2015-11-19,0.79,1.73,,,0.54,0.94,1.32,5.77,1.62,3.72,3.78,5.75,6.14,1.01,,2.80,3.52
2015-11-20,1.15,1.74,,,0.47,0.79,1.38,5.35,1.51,3.55,3.88,3.51,6.39,1.38,,3.92,3.62
2015-11-21,0.95,1.45,,,0.46,0.42,0.35,2.38,1.05,0.09,0.11,3.18,6.04,0.99,,3.43,3.12
2015-11-22,0.14,0.34,,,0.49,0.22,0.08,0.42,0.43,0.43,0.64,1.01,0.85,0.56,,0.31,1.10
2015-11-23,0.66,0.64,,,0.50,2.35,0.19,0.76,0.71,0.36,0.32,1.96,1.73,1.94,,0.39,1.14
2015-11-24,0.67,0.62,,,0.58,2.26,0.13,0.82,0.71,0.46,0.35,1.83,1.43,1.63,,0.58,1.24
2015-11-25,0.25,0.47,,,0.54,0.44,0.09,0.92,0.48,0.70,0.81,1.12,0.91,0.86,,0.61,1.39
2015-11-26,,0.38,,,0.70,0.47,0.1,0.90,0.45,0.56,0.73,1.04,0.89,0.78,,0.64,1.62
2015-11-27,,0.42,,,0.71,0.44,0.17,1.14,,0.62,0.79,1.31,1.01,0.71,,0.80,1.55
2015-11-28,,0.53,,,0.67,0.39,0.39,1.48,0.52,1.28,1.28,1.19,0.84,0.90,,0.80,0.97
2015-11-29,,0.59,,,0.68,0.29,0.7,2.71,0.73,2.23,1.78,3.29,3.29,2.15,,0.89,1.23
2015-11-30,,1.70,,,0.49,0.87,0.96,6.56,1.09,3.89,3.09,3.28,4.89,2.15,,1.35,1.67
2015-12-01,1.47,1.75,,,0.51,0.90,0.88,6.67,1.10,4.64,3.67,2.94,4.91,1.81,,1.78,2.45
2015-12-02,0.64,1.08,,,0.57,0.23,0.44,4.69,1.19,4.48,3.36,3.64,3.24,1.63,,1.77,1.76
2015-12-03,0.80,1.40,,,0.53,2.18,1.11,5.75,1.45,2.70,2.89,6.55,5.77,3.08,,1.43,3.07
2015-12-04,1.38,1.42,,,0.51,2.09,1.04,5.82,1.49,2.60,1.82,6.45,5.93,3.19,,0.75,2.80
2015-12-05,0.75,,,,0.71,0.17,0.78,4.34,0.65,2.36,1.87,1.11,0.95,1.42,,0.39,3.84
2015-12-06,0.65,,,,0.68,0.21,0.36,1.04,0.46,0.80,0.85,0.85,0.85,0.91,,0.53,9.70
2015-12-07,0.69,,,,0.60,0.30,0.49,0.59,0.66,1.86,1.98,1.29,0.94,0.88,,1.72,8.82
2015-12-08,0.32,,,,0.80,0.23,0.14,0.68,0.30,1.72,1.82,1.01,1.36,,,0.91,5.89
2015-12-09,0.47,,,,0.68,0.32,0.18,0.93,0.59,0.83,0.91,1.29,1.06,,,1.73,1.42
2015-12-10,0.63,,,,0.88,0.47,0.33,0.85,0.57,0.61,0.58,1.65,0.94,,,1.91,1.72
2015-12-11,0.68,,,,0.86,2.19,0.38,1.79,1.20,0.77,0.70,5.08,6.12,,,2.06,2.16
2015-12-12,0.82,0.96,,,0.74,2.16,1.11,3.91,1.10,2.64,1.71,4.90,6.23,,,2.20,3.20
2015-12-13,2.49,3.14,,,0.61,0.39,1.27,6.28,2.63,3.61,3.42,3.56,4.12,,,1.10,5.15
2015-12-14,2.57,3.44,,,0.67,0.48,1.85,7.63,2.95,3.57,3.25,3.49,3.90,,,1.19,5.09
2015-12-15,0.92,0.91,,,0.68,0.30,0.73,7.61,0.69,3.53,3.04,1.33,1.27,,,1.09,5.09
2015-12-16,0.85,0.83,,,1.31,0.30,0.61,1.52,0.55,3.11,2.91,1.28,1.38,,,0.66,4.01
2015-12-17,0.69,0.70,,,1.22,0.67,0.84,2.39,0.44,1.24,1.21,1.24,3.06,,,0.59,1.79
2015-12-18,1.29,1.32,,,0.82,0.7,0.77,3.59,1.55,2.58,2.21,2.97,3.64,,,1.39,1.67
2015-12-19,1.55,1.45,,,0.91,0.9,0.81,3.24,1.63,2.96,2.4,3.0,3.69,,,4.04,4.93
2015-12-20,1.38,1.15,,,0.85,0.89,0.84,2.2,0.96,2.02,2.14,1.58,1.78,,,3.18,4.93
2015-12-21,1.41,2.27,,,0.67,0.33,0.79,2.36,1.50,3.68,2.74,1.27,1.7,,,2.17,9.52
2015-12-22,3.32,4.15,,,0.68,1.54,,7.49,2.61,5.07,4.31,3.36,8.88,,,0.93,9.69
2015-12-23,4.47,4.26,,,0.66,1.39,,7.42,2.95,4.95,4.07,3.35,8.48,,,1.06,6.5
2015-12-24,2.62,2.81,,,0.85,1.11,,7.32,2.87,4.62,3.98,4.74,7.98,,,1.15,6.38
2015-12-25,4.1,3.3,,,0.77,0.66,,7.3,1.67,4.85,4.54,4.1,7.58,,,0.84,5.6
2015-12-26,1.92,1.19,,,0.87,0.43,,6.88,0.96,5.25,5.01,1.94,1.54,,,1.3,4.59
2015-12-27,3.27,5.16,,,0.7,0.62,,5.67,2.62,4.46,3.4,5.04,9.97,,,1.22,11.35
2015-12-28,3.27,5.61,,,0.79,0.55,,7.65,2.10,4.83,4.18,4.93,10.11,,,1.23,10.41
2015-12-29,1.75,1.93,,,1.23,0.54,,7.72,,4.67,3.98,2.21,2.42,,,1.51,7.25
2015-12-30,0.33,0.23,,,1.28,0.47,,1.76,0.40,1.33,1.22,1.28,0.99,,,0.69,2.96
2015-12-31,0.57,0.92,,,0.64,0.78,,3.22,0.47,1.0,0.79,1.03,1.23,2.20,,0.39,3.05
