Datum,Beograd Mostar,Beograd Zeleno brdo,Kostolac,Bor Brezonik,Bor Gradski park,Bor Institut RIM,Kragujevac,Zajecar,Cacak,Kamenicki Vis EMEP,Nis O.s. Sveti Sava
2016-11-09,5.8,21.56,7.58,15.38,32.23,16.08,4.61,11.73,13.17,19.05,7.54
2016-11-10,10.94,38.83,9.99,14.85,7.95,14.74,8.62,20.16,13.1,,7.39
2016-11-11,11.24,28.83,10.3,14.57,35.36,19.67,10.52,18.83,12.14,9.38,5.79
2016-11-12,5.97,20.33,7.74,15.73,18.21,12.48,5.31,10.96,12.74,14.74,7.54
2016-11-13,4.54,22.42,7.8,14.27,5.75,14.95,7.17,13.04,12.92,12.37,5.46
2016-11-14,5.32,26.73,6.94,15.3,5.62,17.09,7.57,18.83,22.87,15.12,6.98
2016-11-15,5.27,28.52,17.83,12.58,6.06,15.24,3.56,32.14,15.27,14.28,6.27
2016-11-16,13.74,46,17.75,24.22,12.82,18.58,4.95,28.95,12.22,11.77,5.73
2016-11-17,23.37,33.05,16.5,45.82,15.94,51.29,9.15,25.31,14.77,13.74,8.8
2016-11-18,18.55,36.2,13,35.23,66.47,42.27,9.1,27.9,12.89,23.75,9.29
2016-11-19,11.9,25.14,15.77,26.46,17.63,23.23,10.12,28.73,12.24,27.19,9.62
2016-11-20,7.4,20.95,10.72,26.17,6.22,10.05,15.83,28.35,12.8,14.23,8.3
2016-11-21,6.4,19.26,7.82,13.3,15.25,7.67,6.55,22.13,10.25,10.89,5.09
2016-11-22,7.33,19.7,6.8,11.51,6.06,7.67,5.54,17.08,9.77,12.68,6.09
2016-11-23,6.35,19.75,7.24,11.36,6.28,7.78,4.46,15.82,8.09,12.64,6.63
2016-11-24,15.33,25.01,8.74,18.6,17.47,18.65,5.42,13.57,10.31,17.11,10.27
2016-11-25,19.27,30.68,9.89,89.01,141.21,52.85,7.6,3.83,11.59,15.29,8.66
2016-11-26,7.56,26.63,10.27,24.21,38.9,31.5,5.37,2.33,13.56,15.08,5.78
2016-11-27,7.42,28.76,8.99,29.18,70.65,35.43,7.26,19.44,12.55,,9.49
2016-11-28,6.07,23.1,8.65,20.47,13.54,25.27,5.88,16.94,12.06,14.28,6.28
2016-11-29,5.39,24.55,11.23,14.22,7.71,15.21,2.42,4.04,17.23,17.98,9.81
2016-11-30,8.14,35.13,11.04,19.22,10.86,21.5,5.24,11.89,16.66,23.62,9.28
2016-12-01,14.64,44.12,13.21,29.23,29.33,37.49,7.24,16.6,16.9,24.54,12
2016-12-02,,37.06,17.3,17.56,5.01,13.67,11.94,12.95,17.84,21.38,11.93
2016-12-03,10.23,32.98,12.81,16.35,7.58,16.32,9.52,20.33,15.29,23.13,7.81
2016-12-04,10.7,31.15,18.43,43.87,102.28,102.96,7.47,32.02,11.61,28.76,8
2016-12-05,13.28,38.93,15.81,15.83,50.15,29.58,4.62,13.57,11.92,23.01,9.93
2016-12-06,16.24,48.06,17.9,23.29,31.04,65.9,11.11,30.6,15.92,32.2,14.14
2016-12-07,6.16,29.81,21.22,17.58,9.52,36.23,3.23,24.14,10.48,25.88,9.83
2016-12-08,12.2,57.59,21.51,16.38,4.96,17.29,3.88,22.13,9.08,18.36,7.91
2016-12-09,14.07,60.08,23.66,33.55,33.86,40.89,7.4,66.25,19.63,27.07,10.56
2016-12-10,21.27,49.57,34.7,19.58,8.62,20.05,9.85,46.39,16.49,25.33,13.68
2016-12-11,18.74,55.57,23.1,36,11.91,21.43,7.97,52.36,14.98,25.15,12.56
2016-12-12,,,17.18,21.54,10.42,18.33,9.46,31.63,15.81,31.25,18.27
2016-12-13,,,15.3,15.26,4.72,11.7,7.26,20.06,20.4,20.07,7.52
2016-12-14,34.9,,23.74,40.1,17.31,37.73,9.18,16.78,17.17,18.12,11.2
2016-12-15,8.57,,12.61,31.65,26.08,34.56,4.05,30.72,11.88,37.55,15.54
2016-12-16,5.99,,15.86,12.83,20.75,13.97,2.1,17.18,18.44,39.63,21.25
2016-12-17,37.13,,17.19,27.98,33.31,17.47,4.58,10.83,12.26,19,6.41
2016-12-18,9.57,,19.46,58.98,90,68.42,3.68,33.14,13.77,28.72,11.42
2016-12-19,12.93,,62.57,33.54,29.34,28.34,5.05,26.57,9.19,28.27,11.43
2016-12-20,13.61,,22.08,26.95,32.85,34.04,3.06,18.65,5.52,36.88,13.57
2016-12-21,16.59,,17.68,14.52,64.11,80.79,4.28,20.08,11.88,19.03,12.84
2016-12-22,6.59,,17.58,38.02,19.9,22.15,6.12,36.13,9.29,25.96,9.98
2016-12-23,6.41,,13.75,32.14,35.03,28.68,10.16,21.78,17.32,44.73,20.78
2016-12-24,8.28,,16.12,21.58,23.59,25.68,10.68,23.82,28.49,46.61,24.11
2016-12-25,9.63,,18.92,18.1,19.87,22.29,5.99,37.3,13.33,21.86,13.09
2016-12-26,18.93,,17.78,14.95,15.35,,5.03,,17.68,21.07,11.39
2016-12-27,,,20.58,16.17,24.35,23.98,,19.59,15.29,17.99,
2016-12-28,,24.49,31.7,10.31,9.37,10.61,6.06,20.3,16.38,19.5,7.6
2016-12-29,,25.16,18.84,8.05,5.46,7.88,2.2,22.42,20.25,25.39,9.82
2016-12-30,8.02,31.23,18,15.91,18.5,16.84,7.04,23.92,18.46,27.88,9.47
2016-12-31,11.21,45.72,18.36,24.56,26.06,28.55,8.84,16.27,20,30.28,10.31
