Datum,Beograd Novi Beograd,Beograd Stari grad,Beograd Vracar,Kamenicki Vis EMEP,Kikinda Centar,Kostolac,Kragujevac,Novi Sad SPENS,Novi Sad Liman,Nis IZJZ Nis,Nis O.s. Sveti Sava,Sremska Mitrovica,Sabac,Smederevo Carina,Uzice,Valjevo,Vranje,Zajecar
2016-12-1,0.95,1.04,1.23,0.50,0.41,1.36,1.76,,0.42,3.01,3.01,2.83,4.69,,1.92,4.11,5.22,0.99
2016-12-2,0.91,0.83,0.99,0.39,0.59,0.74,1.18,,0.45,3.24,3.04,1.59,1.96,,2.04,4.04,6.51,0.98
2016-12-3,1.73,1.26,2.27,0.29,1.30,1.00,1.77,,0.52,2.66,2.06,3.89,4.42,,2.06,2.05,1.81,5.28
2016-12-4,2.00,2.23,3.85,0.41,2.39,1.25,2.19,,0.46,3.69,2.70,4.70,4.71,,2.97,6.42,3.96,7.16
2016-12-5,1.40,1.40,1.36,0.37,2.31,0.91,2.61,,0.94,5.38,4.91,1.77,2.91,,4.36,,4.18,6.43
2016-12-6,1.35,1.23,1.29,0.50,0.82,1.11,2.50,,1.10,5.29,5.22,1.73,3.00,,4.38,,3.31,8.41
2016-12-7,1.10,0.99,1.07,0.61,0.70,0.93,2.39,,0.90,4.00,3.27,1.46,2.68,,3.16,,4.56,8.50
2016-12-8,1.87,2.27,3.21,0.50,0.77,1.38,1.91,,1.55,3.90,3.07,2.06,2.59,,5.11,,9.81,2.96
2016-12-9,3.03,3.20,4.49,0.47,,1.92,3.42,,1.68,5.71,5.08,6.49,7.95,,6.52,,11.14,5.60
2016-12-10,3.08,3.72,4.98,0.43,,1.88,3.49,,1.56,5.76,5.33,6.01,8.55,,5.80,,10.93,7.89
2016-12-11,2.62,4.41,5.69,0.55,,1.23,2.69,,1.21,6.31,6.52,6.02,9.80,,6.43,,11.61,8.32
2016-12-12,1.77,1.60,1.51,0.73,,1.04,,,1.00,6.63,6.58,1.87,2.25,,6.19,,10.17,6.90
2016-12-13,1.30,0.95,1.80,0.41,,1.19,,,0.49,2.61,2.23,1.81,4.06,,2.21,,2.00,2.72
2016-12-14,1.30,1.30,1.83,0.36,,1.16,1.40,,1.33,4.29,3.64,2.26,3.87,,4.34,,5.13,2.55
2016-12-15,1.23,1.13,1.00,0.66,,0.67,1.45,,1.26,4.22,3.51,1.85,2.69,,3.89,,5.09,2.72
2016-12-16,0.94,1.09,0.99,0.66,,0.46,1.56,,0.90,1.85,2.38,1.79,2.13,,1.55,,,4.59
2016-12-17,1.51,1.65,1.66,0.58,,0.59,1.71,,0.84,3.08,2.66,2.10,2.12,,3.41,,2.46,1.19
2016-12-18,1.95,1.94,1.92,0.72,,1.23,2.21,,1.00,3.34,2.41,2.27,2.23,2.32,3.66,,3.70,2.30
2016-12-19,0.83,0.85,0.81,0.86,,0.56,0.79,,0.34,2.20,2.75,0.75,1.05,0.76,3.57,0.57,7.84,2.47
2016-12-20,0.82,0.86,0.80,0.99,,0.29,0.62,,0.27,1.18,1.30,1.12,1.46,0.77,2.74,0.76,7.32,2.06
2016-12-21,0.80,0.81,0.90,0.68,,0.55,2.96,,0.37,3.66,2.37,2.18,1.39,1.69,2.24,0.85,1.44,2.24
2016-12-22,0.89,0.86,0.78,0.82,0.13,0.44,2.92,,0.37,4.23,2.51,1.87,1.23,1.09,3.59,0.95,1.92,2.44
2016-12-23,0.89,0.82,0.97,0.94,0.44,0.32,0.71,,0.44,1.27,1.23,1.13,1.14,0.79,3.54,0.31,2.65,1.31
2016-12-24,0.92,0.99,1.09,0.90,0.54,0.57,1.25,,0.54,2.36,2.34,1.04,1.44,1.34,4.61,1.13,1.78,1.18
2016-12-25,1.29,1.48,1.72,0.82,0.64,1.08,2.04,,1.25,3.64,3.61,2.14,2.40,3.33,4.92,5.09,2.33,1.50
2016-12-26,1.30,1.47,1.61,0.66,1.02,1.88,1.42,,1.25,4.65,4.24,6.14,3.94,3.30,5.93,5.52,5.37,
2016-12-27,1.18,,,0.57,1.01,1.71,,,0.78,4.74,,,,2.57,3.62,4.97,5.38,
2016-12-28,0.63,0.54,0.68,0.53,0.65,0.26,0.34,,0.37,1.19,1.28,0.75,1.08,0.33,2.01,0.64,3.79,
2016-12-29,0.67,,0.68,0.57,0.68,0.19,0.51,,0.36,0.84,0.87,0.79,1.14,0.36,1.13,0.40,0.52,
2016-12-30,1.14,1.09,1.13,0.64,1.49,0.50,1.60,,0.80,1.06,1.15,1.86,1.71,0.87,1.40,0.40,0.62,
2016-12-31,1.37,1.55,1.76,0.69,2.11,1.40,1.96875,,0.92,2.86625,2.29,3.69,5.45,3.82,2.52,0.83,1.43,
